submitit INFO (2025-11-30 00:29:43,284) - Starting with JobEnvironment(job_id=13362363, hostname=sphinx4.stanford.edu, local_rank=0(1), node=0(1), global_rank=0(1))
submitit INFO (2025-11-30 00:29:43,284) - Loading pickle: /sphinx/u/cye/emergent-doordash/christine_experiments/20251113/submitit_logs/13362363_submitted.pkl
---------------------------------------------------------                       
mmlu_0_shot (14,042 samples): vllm/Qwen2.5-7B-Instruct                          
max_connections: 32, temperature: 0.0, fail_on_error: False, retry_on_error: 10,
dataset: cais/mmlu                                                              
---------------------------------------------------------                       
                                                                                
Steps:  23/14042   0% | Samples:   1/14042 | accuracy:  n/a | vllm:  1/32 | HTTP retries: 0
Steps:  31/14042   0% | Samples:   6/14042 | accuracy: 0.50 | vllm:  4/32 | HTTP retries: 0
Steps:  41/14042   0% | Samples:  10/14042 | accuracy: 0.33 | vllm:  0/32 | HTTP retries: 1
Steps:  63/14042   0% | Samples:  42/14042 | accuracy: 0.66 | vllm: 10/32 | HTTP retries: 25
Steps:  64/14042   0% | Samples:  49/14042 | accuracy: 0.64 | vllm: 14/32 | HTTP retries: 26
Steps:  70/14042   0% | Samples:  57/14042 | accuracy: 0.65 | vllm: 13/32 | HTTP retries: 37
Steps:  73/14042   0% | Samples:  61/14042 | accuracy: 0.65 | vllm: 16/32 | HTTP retries: 37
Steps:  74/14042   0% | Samples:  67/14042 | accuracy: 0.66 | vllm: 22/32 | HTTP retries: 41
Steps:  95/14042   0% | Samples:  75/14042 | accuracy: 0.66 | vllm:  2/32 | HTTP retries: 56
Steps: 105/14042   0% | Samples:  82/14042 | accuracy: 0.64 | vllm:  6/32 | HTTP retries: 56
Steps: 113/14042   0% | Samples:  84/14042 | accuracy: 0.65 | vllm:  2/32 | HTTP retries: 58
Steps: 114/14042   0% | Samples:  94/14042 | accuracy: 0.63 | vllm: 10/32 | HTTP retries: 59
Steps: 115/14042   0% | Samples:  99/14042 | accuracy: 0.65 | vllm: 13/32 | HTTP retries: 60
Steps: 135/14042   0% | Samples: 116/14042 | accuracy: 0.65 | vllm: 12/32 | HTTP retries: 112
Steps: 137/14042   0% | Samples: 130/14042 | accuracy: 0.66 | vllm:  6/32 | HTTP retries: 124
Steps: 152/14042   1% | Samples: 131/14042 | accuracy: 0.65 | vllm:  7/32 | HTTP retries: 124
Steps: 153/14042   1% | Samples: 134/14042 | accuracy: 0.65 | vllm: 10/32 | HTTP retries: 124
Steps: 167/14042   1% | Samples: 154/14042 | accuracy: 0.65 | vllm: 18/32 | HTTP retries: 167
Steps: 175/14042   1% | Samples: 168/14042 | accuracy: 0.65 | vllm: 24/32 | HTTP retries: 228
Steps: 184/14042   1% | Samples: 176/14042 | accuracy: 0.66 | vllm: 23/32 | HTTP retries: 272
Steps: 203/14042   1% | Samples: 185/14042 | accuracy: 0.66 | vllm: 13/32 | HTTP retries: 315
Steps: 205/14042   1% | Samples: 197/14042 | accuracy: 0.66 | vllm: 20/32 | HTTP retries: 352
Steps: 206/14042   1% | Samples: 198/14042 | accuracy: 0.66 | vllm: 21/32 | HTTP retries: 352
Steps: 220/14042   1% | Samples: 207/14042 | accuracy: 0.68 | vllm: 18/32 | HTTP retries: 391
Steps: 226/14042   1% | Samples: 221/14042 | accuracy: 0.67 | vllm: 26/32 | HTTP retries: 432
Steps: 235/14042   1% | Samples: 227/14042 | accuracy: 0.67 | vllm: 23/32 | HTTP retries: 475
Steps: 249/14042   1% | Samples: 236/14042 | accuracy: 0.68 | vllm: 18/32 | HTTP retries: 520
Steps: 270/14042   1% | Samples: 250/14042 | accuracy: 0.68 | vllm: 11/32 | HTTP retries: 568
Steps: 281/14042   2% | Samples: 267/14042 | accuracy: 0.67 | vllm: 15/32 | HTTP retries: 588
Steps: 298/14042   2% | Samples: 282/14042 | accuracy: 0.68 | vllm: 15/32 | HTTP retries: 651
Steps: 304/14042   2% | Samples: 299/14042 | accuracy: 0.68 | vllm: 26/32 | HTTP retries: 727
Steps: 323/14042   2% | Samples: 305/14042 | accuracy: 0.67 | vllm: 12/32 | HTTP retries: 745
Steps: 324/14042   2% | Samples: 306/14042 | accuracy: 0.68 | vllm: 13/32 | HTTP retries: 745
Steps: 328/14042   2% | Samples: 315/14042 | accuracy: 0.67 | vllm: 16/32 | HTTP retries: 766
Steps: 337/14042   2% | Samples: 329/14042 | accuracy: 0.68 | vllm: 23/32 | HTTP retries: 819
Steps: 355/14042   2% | Samples: 338/14042 | accuracy: 0.67 | vllm: 13/32 | HTTP retries: 866
Steps: 356/14042   2% | Samples: 339/14042 | accuracy: 0.67 | vllm: 14/32 | HTTP retries: 866
