submitit INFO (2025-11-30 00:29:46,891) - Starting with JobEnvironment(job_id=13362365, hostname=sphinx10.stanford.edu, local_rank=0(1), node=0(1), global_rank=0(1))
submitit INFO (2025-11-30 00:29:46,892) - Loading pickle: /sphinx/u/cye/emergent-doordash/christine_experiments/20251113/submitit_logs/13362365_submitted.pkl
---------------------------------------------------------                       
mmlu_0_shot (14,042 samples): vllm/Qwen2.5-32B-Instruct                         
max_connections: 32, temperature: 0.0, fail_on_error: False, retry_on_error: 10,
dataset: cais/mmlu                                                              
---------------------------------------------------------                       
                                                                                
Steps:  16/14042   0% | Samples:   1/14042 | accuracy:  n/a | vllm:  1/32 | HTTP retries: 0
Steps:  31/14042   0% | Samples:   3/14042 | accuracy: 0.50 | vllm:  3/32 | HTTP retries: 0
Steps:  35/14042   0% | Samples:  10/14042 | accuracy: 0.67 | vllm:  5/32 | HTTP retries: 11
Steps:  36/14042   0% | Samples:  13/14042 | accuracy: 0.90 | vllm:  6/32 | HTTP retries: 13
Steps:  48/14042   0% | Samples:  37/14042 | accuracy: 0.83 | vllm: 20/32 | HTTP retries: 81
Steps:  73/14042   0% | Samples:  49/14042 | accuracy: 0.76 | vllm:  7/32 | HTTP retries: 138
Steps:  80/14042   0% | Samples:  66/14042 | accuracy: 0.79 | vllm: 15/32 | HTTP retries: 156
Steps:  95/14042   0% | Samples:  81/14042 | accuracy: 0.78 | vllm:  8/32 | HTTP retries: 199
Steps: 104/14042   0% | Samples:  82/14042 | accuracy: 0.79 | vllm:  8/32 | HTTP retries: 204
Steps: 105/14042   0% | Samples:  83/14042 | accuracy: 0.79 | vllm:  9/32 | HTTP retries: 215
Steps: 106/14042   0% | Samples:  86/14042 | accuracy: 0.79 | vllm: 11/32 | HTTP retries: 221
Steps: 122/14042   0% | Samples: 107/14042 | accuracy: 0.75 | vllm: 16/32 | HTTP retries: 265
Steps: 133/14042   0% | Samples: 108/14042 | accuracy: 0.76 | vllm:  6/32 | HTTP retries: 265
Steps: 134/14042   0% | Samples: 116/14042 | accuracy: 0.75 | vllm: 13/32 | HTTP retries: 283
Steps: 143/14042   1% | Samples: 124/14042 | accuracy: 0.75 | vllm: 10/32 | HTTP retries: 287
Steps: 162/14042   1% | Samples: 144/14042 | accuracy: 0.76 | vllm: 13/32 | HTTP retries: 343
Steps: 172/14042   1% | Samples: 163/14042 | accuracy: 0.78 | vllm: 22/32 | HTTP retries: 389
Steps: 192/14042   1% | Samples: 173/14042 | accuracy: 0.79 | vllm: 11/32 | HTTP retries: 437
Steps: 193/14042   1% | Samples: 174/14042 | accuracy: 0.79 | vllm: 11/32 | HTTP retries: 437
Steps: 210/14042   1% | Samples: 190/14042 | accuracy: 0.78 | vllm:  9/32 | HTTP retries: 455
Steps: 224/14042   1% | Samples: 211/14042 | accuracy: 0.79 | vllm: 18/32 | HTTP retries: 499
Steps: 236/14042   1% | Samples: 225/14042 | accuracy: 0.79 | vllm: 20/32 | HTTP retries: 560
Steps: 246/14042   1% | Samples: 237/14042 | accuracy: 0.78 | vllm: 22/32 | HTTP retries: 629
Steps: 263/14042   1% | Samples: 247/14042 | accuracy: 0.78 | vllm: 15/32 | HTTP retries: 678
Steps: 273/14042   1% | Samples: 264/14042 | accuracy: 0.79 | vllm: 22/32 | HTTP retries: 713
Steps: 275/14042   1% | Samples: 274/14042 | accuracy: 0.79 | vllm: 22/32 | HTTP retries: 728
Steps: 283/14042   2% | Samples: 275/14042 | accuracy: 0.79 | vllm: 22/32 | HTTP retries: 728
Steps: 297/14042   2% | Samples: 276/14042 | accuracy: 0.79 | vllm: 10/32 | HTTP retries: 733
Steps: 310/14042   2% | Samples: 293/14042 | accuracy: 0.79 | vllm: 12/32 | HTTP retries: 747
Steps: 336/14042   2% | Samples: 311/14042 | accuracy: 0.80 | vllm:  6/32 | HTTP retries: 808
Steps: 337/14042   2% | Samples: 328/14042 | accuracy: 0.80 | vllm: 13/32 | HTTP retries: 835
Steps: 344/14042   2% | Samples: 330/14042 | accuracy: 0.80 | vllm: 15/32 | HTTP retries: 838
Steps: 351/14042   2% | Samples: 345/14042 | accuracy: 0.80 | vllm: 24/32 | HTTP retries: 895
Steps: 352/14042   2% | Samples: 346/14042 | accuracy: 0.80 | vllm: 25/32 | HTTP retries: 904
Steps: 378/14042   2% | Samples: 353/14042 | accuracy: 0.79 | vllm:  6/32 | HTTP retries: 940
Steps: 379/14042   2% | Samples: 369/14042 | accuracy: 0.80 | vllm: 14/32 | HTTP retries: 961
Steps: 383/14042   2% | Samples: 370/14042 | accuracy: 0.80 | vllm: 15/32 | HTTP retries: 961
Steps: 384/14042   2% | Samples: 373/14042 | accuracy: 0.80 | vllm: 18/32 | HTTP retries: 962
Steps: 399/14042   2% | Samples: 385/14042 | accuracy: 0.80 | vllm: 17/32 | HTTP retries: 1,022
Steps: 412/14042   2% | Samples: 398/14042 | accuracy: 0.79 | vllm: 15/32 | HTTP retries: 1,050
Steps: 416/14042   2% | Samples: 413/14042 | accuracy: 0.80 | vllm: 28/32 | HTTP retries: 1,128
Steps: 419/14042   2% | Samples: 417/14042 | accuracy: 0.80 | vllm: 29/32 | HTTP retries: 1,176
Steps: 448/14042   3% | Samples: 420/14042 | accuracy: 0.80 | vllm:  3/32 | HTTP retries: 1,195
Steps: 449/14042   3% | Samples: 422/14042 | accuracy: 0.80 | vllm:  4/32 | HTTP retries: 1,199
Steps: 453/14042   3% | Samples: 429/14042 | accuracy: 0.80 | vllm:  5/32 | HTTP retries: 1,199
Steps: 470/14042   3% | Samples: 454/14042 | accuracy: 0.80 | vllm: 15/32 | HTTP retries: 1,261
Steps: 475/14042   3% | Samples: 471/14042 | accuracy: 0.80 | vllm: 27/32 | HTTP retries: 1,322
Steps: 483/14042   3% | Samples: 476/14042 | accuracy: 0.80 | vllm: 24/32 | HTTP retries: 1,350
Steps: 496/14042   3% | Samples: 484/14042 | accuracy: 0.80 | vllm: 15/32 | HTTP retries: 1,382
Steps: 500/14042   3% | Samples: 485/14042 | accuracy: 0.80 | vllm: 16/32 | HTTP retries: 1,383
Steps: 501/14042   3% | Samples: 493/14042 | accuracy: 0.80 | vllm: 23/32 | HTTP retries: 1,399
Steps: 503/14042   3% | Samples: 500/14042 | accuracy: 0.79 | vllm: 23/32 | HTTP retries: 1,414
Steps: 507/14042   3% | Samples: 502/14042 | accuracy: 0.79 | vllm: 26/32 | HTTP retries: 1,431
Steps: 538/14042   3% | Samples: 508/14042 | accuracy: 0.79 | vllm:  1/32 | HTTP retries: 1,463
Steps: 541/14042   3% | Samples: 511/14042 | accuracy: 0.79 | vllm:  1/32 | HTTP retries: 1,465
Steps: 542/14042   3% | Samples: 519/14042 | accuracy: 0.79 | vllm:  6/32 | HTTP retries: 1,465
Steps: 554/14042   3% | Samples: 543/14042 | accuracy: 0.80 | vllm: 20/32 | HTTP retries: 1,531
Steps: 557/14042   3% | Samples: 555/14042 | accuracy: 0.80 | vllm: 29/32 | HTTP retries: 1,598
