submitit INFO (2025-11-30 00:34:06,266) - Starting with JobEnvironment(job_id=13362368, hostname=sphinx9.stanford.edu, local_rank=0(1), node=0(1), global_rank=0(1))
submitit INFO (2025-11-30 00:34:06,266) - Loading pickle: /sphinx/u/cye/emergent-doordash/christine_experiments/20251113/submitit_logs/13362368_submitted.pkl
---------------------------------------------------------                       
mmlu_0_shot (14,042 samples): vllm/Qwen2.5-0.5B-Instruct                        
max_connections: 32, temperature: 0.0, fail_on_error: False, retry_on_error: 10,
dataset: cais/mmlu                                                              
---------------------------------------------------------                       
                                                                                
Steps:  31/14042   0% | Samples:   1/14042 | accuracy:  n/a | vllm:  1/32 | HTTP retries: 0
Steps:  32/14042   0% | Samples:  10/14042 | accuracy: 0.25 | vllm:  9/32 | HTTP retries: 9
Steps:  41/14042   0% | Samples:  18/14042 | accuracy: 0.50 | vllm:  6/32 | HTTP retries: 9
Steps:  51/14042   0% | Samples:  42/14042 | accuracy: 0.47 | vllm: 22/32 | HTTP retries: 64
Steps:  75/14042   0% | Samples:  52/14042 | accuracy: 0.43 | vllm:  8/32 | HTTP retries: 99
Steps:  83/14042   0% | Samples:  74/14042 | accuracy: 0.43 | vllm: 20/32 | HTTP retries: 132
Steps:  96/14042   0% | Samples:  84/14042 | accuracy: 0.42 | vllm: 19/32 | HTTP retries: 196
Steps:  99/14042   0% | Samples:  94/14042 | accuracy: 0.42 | vllm: 24/32 | HTTP retries: 225
Steps: 114/14042   0% | Samples: 100/14042 | accuracy: 0.42 | vllm: 17/32 | HTTP retries: 266
Steps: 127/14042   0% | Samples: 115/14042 | accuracy: 0.44 | vllm: 19/32 | HTTP retries: 299
Steps: 142/14042   1% | Samples: 128/14042 | accuracy: 0.43 | vllm: 17/32 | HTTP retries: 350
Steps: 157/14042   1% | Samples: 143/14042 | accuracy: 0.42 | vllm: 16/32 | HTTP retries: 422
Steps: 158/14042   1% | Samples: 144/14042 | accuracy: 0.41 | vllm: 17/32 | HTTP retries: 422
Steps: 160/14042   1% | Samples: 159/14042 | accuracy: 0.42 | vllm: 30/32 | HTTP retries: 492
Steps: 169/14042   1% | Samples: 161/14042 | accuracy: 0.43 | vllm: 23/32 | HTTP retries: 515
Steps: 195/14042   1% | Samples: 170/14042 | accuracy: 0.42 | vllm:  6/32 | HTTP retries: 569
Steps: 205/14042   1% | Samples: 188/14042 | accuracy: 0.42 | vllm: 12/32 | HTTP retries: 591
Steps: 224/14042   1% | Samples: 206/14042 | accuracy: 0.42 | vllm: 12/32 | HTTP retries: 640
Steps: 225/14042   1% | Samples: 209/14042 | accuracy: 0.42 | vllm: 13/32 | HTTP retries: 640
Steps: 231/14042   1% | Samples: 224/14042 | accuracy: 0.42 | vllm: 19/32 | HTTP retries: 669
Steps: 234/14042   1% | Samples: 225/14042 | accuracy: 0.41 | vllm: 20/32 | HTTP retries: 669
Steps: 254/14042   1% | Samples: 235/14042 | accuracy: 0.42 | vllm: 12/32 | HTTP retries: 720
Steps: 259/14042   1% | Samples: 255/14042 | accuracy: 0.42 | vllm: 27/32 | HTTP retries: 780
Steps: 271/14042   1% | Samples: 260/14042 | accuracy: 0.42 | vllm: 19/32 | HTTP retries: 806
Steps: 272/14042   1% | Samples: 261/14042 | accuracy: 0.42 | vllm: 20/32 | HTTP retries: 806
Steps: 287/14042   2% | Samples: 273/14042 | accuracy: 0.42 | vllm: 17/32 | HTTP retries: 830
Steps: 289/14042   2% | Samples: 288/14042 | accuracy: 0.41 | vllm: 30/32 | HTTP retries: 893
Steps: 305/14042   2% | Samples: 290/14042 | accuracy: 0.40 | vllm: 16/32 | HTTP retries: 919
Steps: 315/14042   2% | Samples: 306/14042 | accuracy: 0.40 | vllm: 22/32 | HTTP retries: 969
Steps: 332/14042   2% | Samples: 316/14042 | accuracy: 0.40 | vllm: 14/32 | HTTP retries: 1,017
Steps: 333/14042   2% | Samples: 317/14042 | accuracy: 0.41 | vllm: 15/32 | HTTP retries: 1,025
Steps: 345/14042   2% | Samples: 334/14042 | accuracy: 0.40 | vllm: 20/32 | HTTP retries: 1,065
Steps: 368/14042   2% | Samples: 346/14042 | accuracy: 0.40 | vllm:  8/32 | HTTP retries: 1,110
Steps: 369/14042   2% | Samples: 347/14042 | accuracy: 0.40 | vllm:  9/32 | HTTP retries: 1,110
Steps: 371/14042   2% | Samples: 364/14042 | accuracy: 0.40 | vllm: 14/32 | HTTP retries: 1,135
Steps: 378/14042   2% | Samples: 365/14042 | accuracy: 0.40 | vllm: 15/32 | HTTP retries: 1,135
Steps: 379/14042   2% | Samples: 367/14042 | accuracy: 0.40 | vllm: 17/32 | HTTP retries: 1,136
Steps: 388/14042   2% | Samples: 380/14042 | accuracy: 0.40 | vllm: 23/32 | HTTP retries: 1,201
Steps: 398/14042   2% | Samples: 389/14042 | accuracy: 0.40 | vllm: 22/32 | HTTP retries: 1,243
Steps: 414/14042   2% | Samples: 399/14042 | accuracy: 0.41 | vllm: 16/32 | HTTP retries: 1,294
Steps: 416/14042   2% | Samples: 415/14042 | accuracy: 0.40 | vllm: 30/32 | HTTP retries: 1,353
Steps: 430/14042   3% | Samples: 417/14042 | accuracy: 0.40 | vllm: 18/32 | HTTP retries: 1,381
Steps: 432/14042   3% | Samples: 431/14042 | accuracy: 0.41 | vllm: 30/32 | HTTP retries: 1,452
Steps: 442/14042   3% | Samples: 433/14042 | accuracy: 0.41 | vllm: 22/32 | HTTP retries: 1,495
