model,Cm
claude-sonnet-4-20250514_16K,2003.983082734023
falcon-40b-instruct,866.8273291367424
chutes/Qwen3-235B-A22B-Thinking-2507,668.4440632611029
claude-sonnet-4-5-20250929_2K,177.3902110726987
gpt-4-32k-0314,161.47265008980042
gpt-5.2-pro-2025-12-11-webapp,160.14005362351608
moonshotai/kimi-k2-0905,160.09995230371916
claude-opus-4-20250514_2K,158.38232743205074
claude-opus-4-5-20251101_128K,157.63251808258084
gemini-3-pro-preview,156.52706917552257
gpt-5.2-2025-12-11_xhigh,155.98154844111687
claude-opus-4-5-20251101_64K,154.80365124352164
gemini-3-flash-preview,154.6677141682202
gpt-5.2-2025-12-11_medium,153.86524491914645
gpt-5.2-2025-12-11_high,153.7221279127502
claude-opus-4-20250514_12K,152.9894828614659
gpt-5-pro-2025-10-06_high,152.6328321082764
gpt-5-2025-08-07_high,152.56447771304178
gpt-5.1-2025-11-13_high,152.48890538358583
claude-sonnet-4-20250514_2K,152.04393303887252
claude-opus-4-5-20251101,151.47982395322987
claude-sonnet-4-5-20250929_12K,150.30719659133337
gemini-2.5-pro-preview-06-05_32K,150.24256070419742
gpt-5-2025-08-07_medium,150.0
o3-pro-2025-06-10_high,149.83200564256896
o3-2025-04-16_high,149.7238759899963
gpt-5.1-2025-11-13_medium,149.71909107973994
claude-opus-4-5-20251101_32K,149.71852719821953
grok-4-0709,149.6224502908215
qwen3-max-2025-09-23,149.17301567044203
claude-opus-4-5-20251101_16K,149.1046745530201
o3-pro-2025-06-10_medium,149.01410603834955
gemini-2.5-pro_16K,148.6408356073532
moonshotai/Kimi-K2-Thinking,148.62901252579664
gemini-2.5-pro-exp-03-25,148.38426470425304
gemini-2.5-pro,148.09642332493533
gpt-5.2-2025-12-11_low,148.06201879753536
Qwen3-235B-A22B-Thinking-2507,148.0005201997053
gemini-2.5-pro-preview-06-05,147.97524828809563
o3-2025-04-16_medium,147.9214197708436
o4-mini-2025-04-16_high,147.44311588809327
kimi-k2-thinking-turbo,147.29294183063573
deepseek-reasoner,146.86844485712916
gpt-5-2025-08-07_low,146.86447477448576
gpt-5-mini-2025-08-07_high,146.23088223350365
o3-pro-2025-06-10_low,146.08663147435587
claude-opus-4-20250514_32K,145.79857294874876
openai/gpt-oss-120b_high,145.7207989050338
claude-3-7-sonnet-20250219_12K,145.67261972347853
kimi-k2-thinking,145.3906530745299
o3-2025-04-16_low,145.2003433205198
claude-sonnet-4-5-20250929_59K,145.18086347494025
claude-sonnet-4-20250514_12K,145.14226189494394
DeepSeek-V3.2-Exp,145.06906566337375
claude-sonnet-4-5-20250929_32K,145.03466623455503
DeepSeek-V3.2-Exp_thinking,144.9892023509325
o4-mini-2025-04-16_medium,144.53102479341328
claude-opus-4-1-20250805_27K,144.2302104994085
claude-sonnet-4-5-20250929_16K,144.14866416764653
gemini-2.5-pro-preview-03-25,143.9589431225238
gemini-2.5-pro-preview-05-06,143.6350050746369
gpt-5-mini-2025-08-07_medium,143.51393716330418
claude-sonnet-4-20250514_59K,143.46700583906272
o3-mini-2025-01-31_high,143.35854206917946
gemini-2.5-flash-preview-04-17 (24K thinking),143.22539172433213
gemini-2.5-flash-preview-05-20_16K,143.20936196164504
gpt-5-nano-2025-08-07_high,143.19717109033974
claude-haiku-4-5-20251001_16K,143.08925306158966
gemini-2.5-pro-preview-06-05_1K,143.08001171655377
gemini-2.5-flash-preview-09-2025,143.03640551151284
claude-sonnet-4-20250514_32K,142.9386717974967
claude-opus-4-20250514_8K,142.92863180697057
DeepSeek-R1-0528,142.89422403275424
o1-2024-12-17_high,142.83511028046706
grok-3-mini-beta_medium,142.7244291023627
grok-3-mini-beta_high,142.7029095574514
gpt-5.1-2025-11-13_low,142.6740785989529
gemini-2.5-flash-preview-05-20,142.5672281001449
claude-sonnet-4-20250514_8K,142.4904208784532
claude-opus-4-20250514_16K,142.39404585792988
grok-3-mini_high,142.22719965371155
claude-sonnet-4-20250514_1K,142.22557052879853
claude-opus-4-20250514_27K,142.1655381390709
o1-2024-12-17_medium,142.1022891179361
o1-2024-12-17_low,142.0095061631786
Qwen3-235B-A22B,141.98960322844414
claude-opus-4-1-20250805_16K,141.97929860222519
claude-opus-4-20250514_1K,141.95487351411546
gemini-2.5-flash-preview-09-2025_16k,141.84478303030016
gpt-oss-120b_medium,141.8276211402042
Qwen/Qwen3-235B-A22B-Thinking-2507,141.73000762414057
claude-haiku-4-5-20251001_32K,141.72997201027658
gemini-2.5-flash-preview-05-20_8K,141.6215433127219
gemini-2.5-flash,141.51373784192813
Qwen3-Coder-480B-A35B-Instruct,141.47745584327814
gpt-5-2025-08-07_minimal,141.37123678401744
gemini-2.5-flash-preview-04-17,141.33733306132544
claude-3-7-sonnet-20250219_32K,141.28305027089976
DeepSeek-V3.1_thinking,141.08427164853822
Kimi-K2-Instruct,141.01230683908523
claude-3-7-sonnet-20250219_64K,140.97180588719547
o1-pro-2025-03-19_low,140.89269004783804
gemini-2.5-flash-preview-05-20_23K,140.72747410987364
o4-mini-2025-04-16_low,140.61427145001278
gpt-5-chat,140.61111710161885
grok-3-beta,140.59892766045425
o3-mini-2025-01-31_medium,140.4616836117669
DeepSeek-V3.1,140.46084906431986
claude-3-7-sonnet-20250219_8K,140.29574371368017
claude-3-7-sonnet-20250219_16K,140.01930532191633
claude-opus-4-1-20250805,139.91386212638898
grok-3-mini-beta_low,139.73003607694915
claude-sonnet-4-5-20250929,139.3346366810323
claude-opus-4-20250514,139.14346574298068
gpt-4.5-preview-2025-02-27,139.1385599408682
gpt-5-nano-2025-08-07_medium,139.1250644340237
gpt-4.1-2025-04-14,139.02697557043845
DeepSeek-R1,139.02613470276688
Kimi-K2-Instruct-0905,138.78806699338122
o1-mini-2024-09-12_high,138.73225860715064
gpt-oss-120b_high,138.5610921075217
gemini-2.5-flash-preview-05-20_1K,138.37368197739596
claude-sonnet-4-20250514,138.0859187792687
Meta-Llama-3-70B,138.06105741907936
fireworks/Kimi-K2-Instruct-0905,137.9830833275832
gemini-2.0-flash-001,137.94134626371033
gpt-4.1-mini-2025-04-14,137.78510257003063
o3-mini-2025-01-31_low,137.74692657890077
DeepSeek-V3-0324,137.73753708672072
claude-haiku-4-5-20251001,137.3490251799186
o1-mini-2024-09-12_medium,137.26330740531287
gemini-2.0-flash-thinking-exp-01-21,137.1941490369881
chutes/Llama-4-Maverick-17B-128E-Instruct,137.1627718197679
claude-3-7-sonnet-20250219,137.0094397669817
gemini-2.0-pro-exp-02-05,136.84178495684748
o1-preview-2024-09-12,136.77702221427595
grok-3,136.60828506883715
claude-3-7-sonnet-20250219_1K,136.36271176812775
Llama-3.1-405B,136.04543329630047
gemini-exp-1206,136.04402051344707
mistral-medium-2505,135.9640301191804
chutes/Llama-4-Scout-17B-16E Instruct,135.2154401819512
qwen3-235b-a22b,135.05819128814701
claude-3-5-sonnet-20241022,134.3919994272603
Llama-4-Maverick-17B-128E-Instruct-FP8,134.06459715964087
DeepSeek-V3,133.57949705197458
Qwen2.5-32B-Instruct,132.56135267630097
gpt-oss-120b,132.54591763677533
gemini-1.5-pro-002,132.46891068168935
qwen2.5-max,132.17749862430014
gpt-5.1-2025-11-13_none,132.0308602052566
qwen-max-2025-01-25,131.86858649003108
gpt-4.1-nano-2025-04-14,131.72928642511124
qwen-plus-2025-01-25,131.5467276335343
gemma-3-27b-it,131.34684187109954
phi-4,131.09722585069568
grok-2-1212,130.7501167167361
qwen-plus-2025-04-28,130.672027268623
Llama-4-Scout-17B-16E-Instruct,130.3836521820571
gemini-1.5-flash-002,130.3636038434614
qwen2.5-72b-instruct,130.10710204105357
claude-3-5-sonnet-20240620,130.0
Qwen2.5-72B,129.7357686683061
claude-3-7-sonnet-20250219_2K,129.70458330383863
gemini-2.0-flash-exp,129.59488988290823
gpt-4o-2024-11-20,129.5377238205319
gpt-4o-2024-08-06,129.08666623024982
Llama-4-Maverick-17B-128E-Instruct,128.99126386252982
gpt-4o-2024-05-13,128.88101696401233
mistral-large-2411,128.59976798053415
DeepSeek-V2,128.5498385700045
Llama-3.1-405B-Instruct,128.13041360856633
claude-3-5-haiku-20241022,127.95324971266818
gpt-4-turbo-2024-04-09,127.66551900706398
mistral-large-2407,127.58159101749945
gpt-4o-mini-2024-07-18,126.84856695824281
Llama-3.3-70B-Instruct,126.7154418043503
gemini-1.5-pro-001,126.54562213006488
claude-3-opus-20240229,126.50812999820711
Qwen2.5-14B-Instruct,126.2746202997043
Llama-3.2-90B-Vision-Instruct,125.88086739646982
DeepSeek-V3-Base,125.77924921801007
qwen2-72b-instruct,125.51175692974878
Llama-3.1-70B-Instruct,125.42354457743814
gpt-4-0314,124.53238214569633
Phi-3-small-8k-instruct,123.91983462940627
Qwen2.5-Coder-32B-Instruct,123.45918269522062
gemma-2-27b-it,122.7328750291483
Mistral-Nemo-Instruct-2407,122.71980943597954
gemini-1.5-flash-0514,122.65111932653859
Mixtral-8x22B-v0.1,122.6511193264311
gemini-1.5-flash-001,122.28119689094207
mistral-large-2402,121.89531493841561
open-mixtral-8x22b,121.7523468843383
gpt-4-0613,121.46036536451066
Qwen2.5-7B-Instruct,121.15748091322536
Phi-3-medium-128k-instruct,120.97317846533115
claude-3-sonnet-20240229,120.8856260825398
Meta-Llama-3-70B-Instruct,120.69681009050679
claude-instant-1.2,120.20191985704497
gemma-2-9b-it,119.5335890613213
gpt-3.5-turbo-1106,119.4590695565824
claude-2.0,119.41876280084476
Qwen2.5-Coder-32B,119.40127852192016
Qwen2.5-Coder-7B-Instruct,118.97128762222434
claude-3-haiku-20240307,118.93488493659285
claude-2.1,118.8064759033907
gemma-3-12b-it,118.19180204537898
gemini-1.0-pro-001,117.9946003217834
claude-instant-1.1,117.84651939235412
gemma-2-9b,117.75481113010615
Llama-3.1-8B-Instruct,117.53340507953085
open-mistral-nemo-2407,117.42281120497063
Mistral-Nemo-Base-2407,117.28249827040817
Phi-3-mini-4k-instruct,117.19804572939425
open-mixtral-8x7b,117.15028019933986
Mixtral-8x7B-Instruct-v0.1,117.14518736834572
Mixtral-8x7B-v0.1,116.3858413091888
Meta-Llama-3-8B-Instruct,115.39848445745997
gpt-3.5-turbo-0125,115.30820667884736
Qwen2.5-3B-Instruct,114.87969444944055
Meta-Llama-3-8B,114.41574745091832
Llama-2-70b-chat-hf,114.07588992746152
StableBeluga2,113.8416571521242
Mistral-7B-Instruct-v0.1,113.29968771012476
Yi-34B-Chat,113.29458417676356
Qwen2.5-Coder-7B,112.5603345018985
Yi-34B,109.7376542754901
Qwen2.5-1.5B-Instruct,108.52207949817661
gpt-3.5-turbo-0613,107.66425180938187
Qwen-14B,107.55058926571016
Qwen-14B-Chat,106.95350749322115
falcon-180B,106.49477241728762
Mistral-7B-Instruct-v0.3,106.42575227675171
open-mistral-7b,106.32295732055111
Llama-2-70b-chat,106.20536891398177
falcon-11b,104.82273156643639
phi-2,104.50299683499124
Qwen2.5-Coder-1.5B,103.44911445198541
starcoder2-15b,103.43641977457469
gemma-7b,103.15803497147644
Qwen-7B,102.96958972845816
Nemotron-4 15B,102.82109444962704
LLaMA-65B,102.67619033886281
Mistral-7B-v0.1,102.17831137841128
Yi-6B-Chat,101.550740516384
Baichuan-2-13B-Base,100.74421175279215
Llama-2-34b,100.63735132088937
LLaMA-33B,99.9222265357484
Mistral-7B-Instruct-v0.2,99.33650450643299
Mixtral-8x22B-Instruct-v0.1,98.7762969844165
gemma-3-4b-it,98.04622953303479
Yi-6B,97.9032731111398
INTELLECT-1-Instruct,97.27230692828992
Llama-2-13b,97.17562433327288
Qwen2.5-0.5B-Instruct,96.49328499816366
falcon-40b,96.02842905944752
Qwen2.5-VL-72B-Instruct,94.5219321818638
deepseek-coder-33b-base,94.07709417033314
LLaMA-13B,93.71778694719448
mpt-30b,92.47945916856798
Baichuan-2-7B-Base,92.44873163029958
starcoder2-7b,92.17484533917198
Llama-2-13b-chat,91.1785466856514
Llama-2-7b,90.69121352076169
gemma-2b,89.89914605411387
deepseek-coder-6.7b-base,87.77571754037973
Baichuan-7B,87.21117606555947
starcoder2-3b,87.21072759087288
xgen-7b-8k-base,86.41694949965488
LLaMA-7B,86.35574368754004
mpt-7b,85.63971844542888
phi-1_5,85.4570182324325
falcon-7b,85.00302816670913
dolly-v2-12b,83.58870944694631
Cerebras-GPT-13B,78.77456129604731
deepseek-coder-1.3b-base,75.58917337374649
fireworks/deepseek-v3p2,-969.5592819658604
mpt-30b-instruct,-2304.8273304969102
