model,eci_fitted,eci_our_fit,eci_epoch,source
Qwen3-32B,150.7443337157006,150.7443337157006,,fitted
Qwen3-14B,147.6630475835144,147.6630475835144,,fitted
Llama-3.1-70B-Instruct,141.2092336028359,141.2092336028359,125.3546577803735,fitted
Qwen3-8B,139.61794723762128,139.61794723762128,,fitted
Qwen3-4B,135.59443474085217,135.59443474085217,,fitted
Qwen2.5-32B-Instruct,133.68860906491793,133.68860906491793,,fitted
gemma-3-27b-it,129.35136725832345,129.35136725832345,130.9457032062782,fitted
Qwen2.5-14B-Instruct,128.47654705157314,128.47654705157314,,fitted
gemma-3-12b-it,125.01001572554013,125.01001572554013,,fitted
Qwen3-1.7B,123.38975212194973,123.38975212194973,,fitted
Qwen2.5-7B-Instruct,121.5556486583959,121.5556486583959,,fitted
Llama-3.1-8B-Instruct,118.21076663096959,118.21076663096959,115.69805961437534,fitted
Qwen2.5-3B-Instruct,116.85049174113271,116.85049174113271,,fitted
gemma-3-4b-it,114.39159160257901,114.39159160257901,,fitted
Qwen2.5-1.5B-Instruct,111.83791177826477,111.83791177826477,,fitted
Qwen3-0.6B,111.74174185357097,111.74174185357097,,fitted
gemma-3-1b-it,101.88571001761507,101.88571001761507,,fitted
Qwen2.5-0.5B-Instruct,101.19700020404424,101.19700020404424,,fitted
