model,eci_fitted,eci_our_fit,eci_epoch,source
gemini-3-pro-preview,158.77038887673342,158.77038887673342,153.8060795990362,fitted
qwen3-max-2025-09-23,158.51157560280606,158.51157560280606,145.2734899249661,fitted
gpt-5.2-2025-12-11_xhigh,157.70037124414154,157.70037124414154,152.4182891569458,fitted
claude-opus-4-5-20251101,157.04409809377802,157.04409809377802,149.86957925424835,fitted
gemini-3-flash-preview,156.60349191096225,156.60349191096225,152.5143955828333,fitted
gpt-5.2-2025-12-11_medium,155.03693150585872,155.03693150585872,152.4182891569458,fitted
gpt-5.2-2025-12-11_high,154.13975295643888,154.13975295643888,152.4182891569458,fitted
gpt-5.1-2025-11-13_high,153.16889298712576,153.16889298712576,150.2224893574465,fitted
gpt-5-pro-2025-10-06_high,152.9317233032853,152.9317233032853,150.33905005272666,fitted
gpt-5-2025-08-07_high,152.92740131088448,152.92740131088448,150.0,fitted
claude-opus-4-5-20251101_16K,151.35762968649675,151.35762968649675,149.86957925424835,fitted
gpt-5.1-2025-11-13_medium,150.37787336927153,150.37787336927153,150.2224893574465,fitted
o3-2025-04-16_high,150.14442925773847,150.14442925773847,146.78941750366135,fitted
claude-opus-4-5-20251101_32K,150.1107986229856,150.1107986229856,149.86957925424835,fitted
gpt-5-2025-08-07_medium,150.0,150.0,150.0,fitted
o3-pro-2025-06-10_high,149.8126771253233,149.8126771253233,148.78913668659862,fitted
grok-4-0709,149.54250216430643,149.54250216430643,147.41867399925533,fitted
o3-pro-2025-06-10_medium,148.75649219704312,148.75649219704312,148.78913668659862,fitted
gemini-2.5-pro,148.29432462622992,148.29432462622992,146.2161106724776,fitted
gpt-5.2-2025-12-11_low,148.1948581031994,148.1948581031994,152.4182891569458,fitted
gemini-2.5-pro-exp-03-25,147.398188444151,147.398188444151,144.22445062349664,fitted
gemini-2.5-pro-preview-06-05,147.39228936752158,147.39228936752158,146.2161106724776,fitted
Qwen3-235B-A22B-Thinking-2507,147.25588387270622,147.25588387270622,145.28065460309054,fitted
o4-mini-2025-04-16_high,147.0032761588221,147.0032761588221,144.9937806547,fitted
o3-2025-04-16_medium,146.97852995379978,146.97852995379978,146.78941750366135,fitted
kimi-k2-thinking-turbo,146.86807939169165,146.86807939169165,145.09977073063365,fitted
gpt-5-2025-08-07_low,146.5980457237784,146.5980457237784,150.0,fitted
claude-opus-4-1-20250805,145.3336970544419,145.3336970544419,143.8931899812305,fitted
claude-opus-4-1-20250805_27K,145.15440117414,145.15440117414,143.8931899812305,fitted
deepseek-reasoner,144.86897744841485,144.86897744841485,145.11291603938145,fitted
claude-sonnet-4-20250514_16K,144.30266576798965,144.30266576798965,142.3786561400816,fitted
claude-sonnet-4-5-20250929_59K,144.13207561756408,144.13207561756408,146.444110081093,fitted
gpt-5-mini-2025-08-07_high,144.13112212388125,144.13112212388125,144.26124416881186,fitted
claude-sonnet-4-5-20250929,143.6962613694129,143.6962613694129,146.444110081093,fitted
gemini-2.5-flash-preview-09-2025,143.23617581750509,143.23617581750509,142.1879393517323,fitted
o4-mini-2025-04-16_medium,143.2342162427781,143.2342162427781,144.9937806547,fitted
claude-sonnet-4-5-20250929_32K,143.1931151227016,143.1931151227016,146.444110081093,fitted
gemini-2.5-pro-preview-03-25,142.9449583279923,142.9449583279923,144.22445062349664,fitted
gemini-2.5-pro-preview-05-06,142.69395512499753,142.69395512499753,142.63009648123537,fitted
claude-opus-4-20250514_16K,142.6626177328551,142.6626177328551,143.13066707835165,fitted
claude-3-7-sonnet-20250219_32K,142.3371506431717,142.3371506431717,141.67851910714836,fitted
DeepSeek-R1-0528,142.1121409743268,142.1121409743268,141.8435994095166,fitted
o1-2024-12-17_high,141.9553962720364,141.9553962720364,142.37147467669178,fitted
o3-mini-2025-01-31_high,141.31916114447316,141.31916114447316,141.10846370345223,fitted
gpt-5-mini-2025-08-07_medium,141.2985031068226,141.2985031068226,144.26124416881186,fitted
