model,hint_fraction,accuracy,stderr
Qwen2.5-0.5B-Instruct,0.0,0.2713585858585859,0.029221245885500978
Qwen2.5-0.5B-Instruct,0.1,0.323030303030303,0.029872531290492593
Qwen2.5-0.5B-Instruct,0.15,0.3261363636363636,0.029610941410898598
Qwen2.5-0.5B-Instruct,0.2,0.32421212121212123,0.030862001166621883
Qwen2.5-0.5B-Instruct,0.25,0.3273383838383838,0.03123729452967592
Qwen2.5-0.5B-Instruct,0.3,0.32674747474747473,0.03017970866020437
Qwen2.5-0.5B-Instruct,0.35,0.32382323232323235,0.03134053501110288
Qwen2.5-0.5B-Instruct,0.4,0.30759090909090914,0.030393631813436406
Qwen2.5-0.5B-Instruct,0.45,0.32185353535353534,0.03100634621758452
Qwen2.5-0.5B-Instruct,0.5,0.322979797979798,0.03076396079087502
Qwen2.5-0.5B-Instruct,0.55,0.3317373737373737,0.030108866170265754
Qwen2.5-0.5B-Instruct,0.6,0.3449343434343434,0.031185300741675394
Qwen2.5-0.5B-Instruct,0.65,0.3600151515151515,0.03249124225672772
Qwen2.5-0.5B-Instruct,0.7,0.3727020202020202,0.029834327685709972
Qwen2.5-0.5B-Instruct,0.75,0.3950757575757576,0.03169463548261244
Qwen2.5-0.5B-Instruct,0.8,0.42096969696969694,0.030861890414740172
Qwen2.5-0.5B-Instruct,0.85,0.4466414141414142,0.03084274213446702
Qwen2.5-0.5B-Instruct,0.9,0.4973939393939394,0.03252766162105138
Qwen2.5-0.5B-Instruct,0.95,0.5616767676767677,0.03006601585947628
Qwen2.5-0.5B-Instruct,1.0,0.6518838383838383,0.02857339513069754
Qwen2.5-1.5B-Instruct,0.0,0.22929292929292927,0.02652260597473506
Qwen2.5-1.5B-Instruct,0.1,0.23916666666666667,0.027753421369527017
Qwen2.5-1.5B-Instruct,0.15,0.24492929292929297,0.02742381642990011
Qwen2.5-1.5B-Instruct,0.2,0.24266666666666667,0.027222969949064497
Qwen2.5-1.5B-Instruct,0.25,0.2511060606060606,0.027704236442566435
Qwen2.5-1.5B-Instruct,0.3,0.25276767676767675,0.027839094858316676
Qwen2.5-1.5B-Instruct,0.35,0.26285858585858585,0.027310992609470636
Qwen2.5-1.5B-Instruct,0.4,0.26477777777777783,0.02888364542369856
Qwen2.5-1.5B-Instruct,0.45,0.26507575757575763,0.027349207672065497
Qwen2.5-1.5B-Instruct,0.5,0.283510101010101,0.028063168920349244
Qwen2.5-1.5B-Instruct,0.55,0.29023232323232323,0.028039558031658668
Qwen2.5-1.5B-Instruct,0.6,0.3083939393939394,0.027736496414355157
Qwen2.5-1.5B-Instruct,0.65,0.3365858585858586,0.028472158502918687
Qwen2.5-1.5B-Instruct,0.7,0.35327777777777775,0.029026302680873806
Qwen2.5-1.5B-Instruct,0.75,0.3871818181818181,0.029725882647510297
Qwen2.5-1.5B-Instruct,0.8,0.4329343434343434,0.029203607722502283
Qwen2.5-1.5B-Instruct,0.85,0.4815,0.029919897395838994
Qwen2.5-1.5B-Instruct,0.9,0.5351161616161617,0.030690615191464106
Qwen2.5-1.5B-Instruct,0.95,0.6324949494949494,0.02922896359827496
Qwen2.5-1.5B-Instruct,1.0,0.7437878787878789,0.027105312947852497
Qwen2.5-3B-Instruct,0.0,0.30202525252525253,0.02784720387391796
Qwen2.5-3B-Instruct,0.1,0.32187373737373737,0.02782669659451014
Qwen2.5-3B-Instruct,0.15,0.3180050505050505,0.028133523207166188
Qwen2.5-3B-Instruct,0.2,0.31161111111111106,0.027424009430340127
Qwen2.5-3B-Instruct,0.25,0.32097474747474747,0.027095943592490596
Qwen2.5-3B-Instruct,0.3,0.3122676767676768,0.0285180330914844
Qwen2.5-3B-Instruct,0.35,0.31871717171717173,0.027592940589403845
Qwen2.5-3B-Instruct,0.4,0.34159595959595956,0.028248312271878656
Qwen2.5-3B-Instruct,0.45,0.35976767676767674,0.028825619422101757
Qwen2.5-3B-Instruct,0.5,0.3752323232323232,0.028626333910648824
Qwen2.5-3B-Instruct,0.55,0.38908585858585854,0.027627453208699818
Qwen2.5-3B-Instruct,0.6,0.42485858585858594,0.028543672694535404
Qwen2.5-3B-Instruct,0.65,0.4338131313131313,0.027411717939223604
Qwen2.5-3B-Instruct,0.7,0.4846111111111111,0.027719309908839057
Qwen2.5-3B-Instruct,0.75,0.5183181818181818,0.029323334533585262
Qwen2.5-3B-Instruct,0.8,0.5538636363636364,0.028943745596275616
Qwen2.5-3B-Instruct,0.85,0.6024898989898989,0.026093643904582613
Qwen2.5-3B-Instruct,0.9,0.6752020202020201,0.024801991076340672
Qwen2.5-3B-Instruct,0.95,0.7493686868686869,0.023195169566864307
Qwen2.5-3B-Instruct,1.0,0.8632272727272727,0.019513807150925676
Qwen2.5-7B-Instruct,0.0,0.3396666666666667,0.02501682119535035
Qwen2.5-7B-Instruct,0.1,0.3464141414141414,0.024612028849432494
Qwen2.5-7B-Instruct,0.15,0.34083838383838383,0.024722624092646875
Qwen2.5-7B-Instruct,0.2,0.3606717171717172,0.026083514615959
Qwen2.5-7B-Instruct,0.25,0.3626414141414141,0.026528467555780064
Qwen2.5-7B-Instruct,0.3,0.36257575757575755,0.02620131732739497
Qwen2.5-7B-Instruct,0.35,0.3811969696969697,0.026378663138850685
Qwen2.5-7B-Instruct,0.4,0.40342929292929297,0.02642063915675941
Qwen2.5-7B-Instruct,0.45,0.42447474747474745,0.0268712898412578
Qwen2.5-7B-Instruct,0.5,0.45010606060606057,0.027612159622981244
Qwen2.5-7B-Instruct,0.55,0.4689646464646464,0.02643975572094814
Qwen2.5-7B-Instruct,0.6,0.4976717171717172,0.026159704602368418
Qwen2.5-7B-Instruct,0.65,0.5191565656565655,0.028344157441980992
Qwen2.5-7B-Instruct,0.7,0.5561363636363635,0.027324014160101856
Qwen2.5-7B-Instruct,0.75,0.5880050505050506,0.02646309223210025
Qwen2.5-7B-Instruct,0.8,0.628070707070707,0.026322695483568193
Qwen2.5-7B-Instruct,0.85,0.6737828282828283,0.026663471169880687
Qwen2.5-7B-Instruct,0.9,0.7331010101010101,0.02451565510380786
Qwen2.5-7B-Instruct,0.95,0.8088080808080809,0.022635766402318805
Qwen2.5-7B-Instruct,1.0,0.9116919191919192,0.0161488072663242
Qwen2.5-14B-Instruct,0.0,0.4162828282828283,0.02372459574408128
Qwen2.5-14B-Instruct,0.1,0.41741414141414146,0.02413279927435363
Qwen2.5-14B-Instruct,0.15,0.43234848484848487,0.024990037296596768
Qwen2.5-14B-Instruct,0.2,0.444030303030303,0.024376353533091203
Qwen2.5-14B-Instruct,0.25,0.44122222222222224,0.02426396139271358
Qwen2.5-14B-Instruct,0.3,0.4549848484848485,0.025046345675380347
Qwen2.5-14B-Instruct,0.35,0.46429797979797977,0.024721816734017424
Qwen2.5-14B-Instruct,0.4,0.49587373737373736,0.024746191989018253
Qwen2.5-14B-Instruct,0.45,0.5193939393939394,0.02661975518646112
Qwen2.5-14B-Instruct,0.5,0.5341414141414141,0.026074696683998727
Qwen2.5-14B-Instruct,0.55,0.5400202020202021,0.025116920754603686
Qwen2.5-14B-Instruct,0.6,0.5711818181818182,0.02640847419745814
Qwen2.5-14B-Instruct,0.65,0.5880454545454545,0.02618067585034463
Qwen2.5-14B-Instruct,0.7,0.6222272727272727,0.025571021291389707
Qwen2.5-14B-Instruct,0.75,0.6605,0.024852466934765196
Qwen2.5-14B-Instruct,0.8,0.6863333333333334,0.025103989417318315
Qwen2.5-14B-Instruct,0.85,0.716939393939394,0.02376845375575353
Qwen2.5-14B-Instruct,0.9,0.7648333333333334,0.022893907083162905
Qwen2.5-14B-Instruct,0.95,0.822909090909091,0.0209689671152253
Qwen2.5-14B-Instruct,1.0,0.9278181818181818,0.015339520450930795
Qwen2.5-32B-Instruct,0.0,0.45744949494949494,0.022543802096316
Qwen2.5-32B-Instruct,0.1,0.48277272727272724,0.02297179292250568
Qwen2.5-32B-Instruct,0.15,None,None
Qwen2.5-32B-Instruct,0.2,0.4872777777777778,0.02388714784267794
Qwen2.5-32B-Instruct,0.25,0.4969545454545454,0.024409875694590598
Qwen2.5-32B-Instruct,0.3,0.5152676767676768,0.023692452121333522
Qwen2.5-32B-Instruct,0.35,None,None
Qwen2.5-32B-Instruct,0.4,0.5531515151515152,0.024768813723142026
Qwen2.5-32B-Instruct,0.45,None,None
Qwen2.5-32B-Instruct,0.5,0.6046565656565656,0.024483604578863918
Qwen2.5-32B-Instruct,0.55,None,None
Qwen2.5-32B-Instruct,0.6,0.6486313131313132,0.023523081184951798
Qwen2.5-32B-Instruct,0.65,0.6590757575757575,0.024785577243673623
Qwen2.5-32B-Instruct,0.7,None,None
Qwen2.5-32B-Instruct,0.75,0.7172828282828283,0.02236724716043907
Qwen2.5-32B-Instruct,0.8,0.7459090909090909,0.023508405693521597
Qwen2.5-32B-Instruct,0.85,None,None
Qwen2.5-32B-Instruct,0.9,0.8336060606060606,0.0200989060367751
Qwen2.5-32B-Instruct,0.95,None,None
Qwen2.5-32B-Instruct,1.0,0.9562727272727275,0.012667645315246005
