model,hint_fraction,accuracy,stderr
Qwen2.5-0.5B-Instruct,0.0,0.2693333333333333,0.029242405469513028
Qwen2.5-0.5B-Instruct,0.1,0.16919672131147542,0.02619854217188957
Qwen2.5-0.5B-Instruct,0.2,0.17481967213114755,0.0256492836845595
Qwen2.5-0.5B-Instruct,0.3,0.1881584699453552,0.026475119974502623
Qwen2.5-0.5B-Instruct,0.4,0.19634426229508198,0.02833860972838563
Qwen2.5-0.5B-Instruct,0.5,0.19010928961748635,0.026310156070628088
Qwen2.5-0.5B-Instruct,0.6,0.2451256830601093,0.027997045782478715
Qwen2.5-0.5B-Instruct,0.7,0.2833989071038251,0.027772766964217956
Qwen2.5-0.5B-Instruct,0.8,0.310983606557377,0.02934985852957477
Qwen2.5-0.5B-Instruct,0.9,0.40345355191256826,0.028947195023598417
Qwen2.5-0.5B-Instruct,1.0,0.5678142076502731,0.027005760812893628
Qwen2.5-1.5B-Instruct,0.0,0.22219672131147541,0.026693167428669066
Qwen2.5-1.5B-Instruct,0.1,0.24333333333333332,0.02708922354790847
Qwen2.5-1.5B-Instruct,0.2,0.26491803278688525,0.02797878243802692
Qwen2.5-1.5B-Instruct,0.3,0.29589617486338793,0.028913662007729903
Qwen2.5-1.5B-Instruct,0.4,0.3355081967213115,0.029259014678903527
Qwen2.5-1.5B-Instruct,0.5,0.38766120218579236,0.027908808815205837
Qwen2.5-1.5B-Instruct,0.6,0.4544535519125683,0.028142752923060798
Qwen2.5-1.5B-Instruct,0.7,0.5521967213114753,0.027183964021228243
Qwen2.5-1.5B-Instruct,0.8,0.6591202185792349,0.024016277811691262
Qwen2.5-1.5B-Instruct,0.9,0.7349016393442623,0.02160221396346365
Qwen2.5-1.5B-Instruct,1.0,0.8783278688524591,0.014082301184993708
Qwen2.5-3B-Instruct,0.0,0.3034535519125683,0.025957708330212777
Qwen2.5-3B-Instruct,0.1,0.3100710382513661,0.026587353497495313
Qwen2.5-3B-Instruct,0.2,0.3278306010928962,0.02691108481112804
Qwen2.5-3B-Instruct,0.3,0.38524043715846995,0.028306854324207625
Qwen2.5-3B-Instruct,0.4,0.4636174863387978,0.028142360866513866
Qwen2.5-3B-Instruct,0.5,0.5167540983606557,0.028835503794397487
Qwen2.5-3B-Instruct,0.6,0.5848415300546449,0.03079433714330533
Qwen2.5-3B-Instruct,0.7,0.6418306010928961,0.028374274186938796
Qwen2.5-3B-Instruct,0.8,0.7075628415300546,0.025875193434701665
Qwen2.5-3B-Instruct,0.9,0.77224043715847,0.0248472294818486
Qwen2.5-3B-Instruct,1.0,0.8623333333333333,0.01898602483724035
Qwen2.5-7B-Instruct,0.0,0.34154644808743173,0.02600885731291861
Qwen2.5-7B-Instruct,0.1,0.38134972677595624,0.02783220079971523
Qwen2.5-7B-Instruct,0.2,0.4760983606557377,0.02774004520177626
Qwen2.5-7B-Instruct,0.3,0.5146994535519126,0.02663052957710471
Qwen2.5-7B-Instruct,0.4,0.6421092896174864,0.025284646067604177
Qwen2.5-7B-Instruct,0.5,0.7130983606557377,0.023509966704445724
Qwen2.5-7B-Instruct,0.6,0.8065573770491803,0.02043014402871141
Qwen2.5-7B-Instruct,0.7,0.8542295081967213,0.019480720268552982
Qwen2.5-7B-Instruct,0.8,0.8722021857923498,0.01865720620634825
Qwen2.5-7B-Instruct,0.9,0.9235409836065575,0.014289315526174634
Qwen2.5-7B-Instruct,1.0,0.9504426229508197,0.009927081933619863
Qwen2.5-14B-Instruct,0.0,0.42719125683060105,0.024385930253212628
Qwen2.5-14B-Instruct,0.1,0.49574316939890706,0.024253406903447596
Qwen2.5-14B-Instruct,0.2,0.5879344262295083,0.02404963662818018
Qwen2.5-14B-Instruct,0.3,0.6936229508196722,0.021373394007353923
Qwen2.5-14B-Instruct,0.4,0.7709672131147541,0.019863542817024144
Qwen2.5-14B-Instruct,0.5,0.8645409836065574,0.01592451268370004
Qwen2.5-14B-Instruct,0.6,0.8921967213114753,0.013167036044063723
Qwen2.5-14B-Instruct,0.7,0.9236120218579236,0.012099302217768079
Qwen2.5-14B-Instruct,0.8,0.9365628415300548,0.009917873216738586
Qwen2.5-14B-Instruct,0.9,0.9631202185792349,0.007488530252423063
Qwen2.5-14B-Instruct,1.0,0.9776502732240435,0.005609815945006129
Qwen2.5-32B-Instruct,0.0,0.4670382513661202,0.02229546769193814
Qwen2.5-32B-Instruct,0.1,0.5623169398907104,0.021400112716307252
Qwen2.5-32B-Instruct,0.2,0.6514316939890711,0.02313551496969315
Qwen2.5-32B-Instruct,0.3,0.765551912568306,0.02070510768070032
Qwen2.5-32B-Instruct,0.4,0.8454207650273224,0.017960657200751923
Qwen2.5-32B-Instruct,0.5,0.8902349726775955,0.014906549955257092
Qwen2.5-32B-Instruct,0.6,0.9373770491803279,0.010517386840882242
Qwen2.5-32B-Instruct,0.7,0.965639344262295,0.009813355689772745
Qwen2.5-32B-Instruct,0.8,0.9792513661202186,0.007535816317839706
Qwen2.5-32B-Instruct,0.9,0.9848797814207649,0.006804783997444287
Qwen2.5-32B-Instruct,1.0,0.998327868852459,0.0025181950084357304
