model,hint_fraction,accuracy,ci_low,ci_high,n_samples,n_rollouts,rows_total,rows_with_known_label,rows_without_known_label,path
Qwen3-4B,0.0,0.6233333333333333,0.55,0.7,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__mask_word/fraction_0.jsonl
Qwen3-4B,0.1,0.6449999999999999,0.5666666666666667,0.7166666666666667,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__mask_word/fraction_0.1.jsonl
Qwen3-4B,0.2,0.6099999999999999,0.5333333333333333,0.6833333333333333,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__mask_word/fraction_0.2.jsonl
Qwen3-4B,0.3,0.6549999999999999,0.5666666666666667,0.7333333333333333,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__mask_word/fraction_0.3.jsonl
Qwen3-4B,0.4,0.6766666666666666,0.5833333333333334,0.7666666666666667,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__mask_word/fraction_0.4.jsonl
Qwen3-4B,0.5,0.7316666666666668,0.65,0.8166666666666667,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__mask_word/fraction_0.5.jsonl
Qwen3-4B,0.6,0.8233333333333334,0.75,0.9,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__mask_word/fraction_0.6.jsonl
Qwen3-4B,0.7,0.8916666666666667,0.8166666666666667,0.95,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__mask_word/fraction_0.7.jsonl
Qwen3-4B,0.8,0.9533333333333334,0.9,0.9837499999999996,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__mask_word/fraction_0.8.jsonl
Qwen3-4B,0.9,0.9633333333333334,0.9166666666666666,1.0,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__mask_word/fraction_0.9.jsonl
Qwen3-4B,1.0,0.97,0.9333333333333333,1.0,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__mask_word/fraction_1.jsonl
