model,benchmark,score
Llama-3.1-70B-Instruct,HellaSwag,0.8679545907189803
Llama-3.1-70B-Instruct,MMLU,0.8285856715567583
Llama-3.1-70B-Instruct,PIQA,0.9064200217627857
Llama-3.1-8B-Instruct,HellaSwag,0.73770165305716
Llama-3.1-8B-Instruct,MMLU,0.6796040450078337
Llama-3.1-8B-Instruct,PIQA,0.7176278563656148
Qwen2.5-0.5B-Instruct,HellaSwag,0.2545309699263095
Qwen2.5-0.5B-Instruct,MMLU,0.4106252670559749
Qwen2.5-0.5B-Instruct,PIQA,0.43362350380848746
Qwen2.5-1.5B-Instruct,HellaSwag,0.5614419438358893
Qwen2.5-1.5B-Instruct,MMLU,0.5728528699615439
Qwen2.5-1.5B-Instruct,PIQA,0.7252448313384113
Qwen2.5-14B-Instruct,HellaSwag,0.8828918542123083
Qwen2.5-14B-Instruct,MMLU,0.7777382139296396
Qwen2.5-14B-Instruct,PIQA,0.8601741022850925
Qwen2.5-32B-Instruct,HellaSwag,0.910973909579765
Qwen2.5-32B-Instruct,MMLU,0.8189004415325453
Qwen2.5-32B-Instruct,PIQA,0.9096844396082698
Qwen2.5-3B-Instruct,HellaSwag,0.7098187612029476
Qwen2.5-3B-Instruct,MMLU,0.6480558325024925
Qwen2.5-3B-Instruct,PIQA,0.7149075081610446
Qwen2.5-7B-Instruct,HellaSwag,0.8489344752041426
Qwen2.5-7B-Instruct,MMLU,0.7224754308503062
Qwen2.5-7B-Instruct,PIQA,0.8569096844396082
gemma-3-12b-it,HellaSwag,0.826727743477395
gemma-3-12b-it,MMLU,0.7250391682096567
gemma-3-12b-it,PIQA,0.8677910772578891
gemma-3-27b-it,HellaSwag,0.8571997610037841
gemma-3-27b-it,MMLU,0.7761002706167213
gemma-3-27b-it,PIQA,0.8917301414581066
gemma-3-4b-it,HellaSwag,0.5940051782513444
gemma-3-4b-it,MMLU,0.5776954849736505
gemma-3-4b-it,PIQA,0.7480957562568009
