n_models,rms_train,rms_test,rms_all,midpoint_h_0.0,midpoint_h_0.2,midpoint_h_0.4,midpoint_h_0.6,midpoint_h_0.8,midpoint_h_1.0
5,0.07621654840496644,0.15944329085981912,0.13889938000584512,0.9519925127778281,0.8713116946990358,0.7748411584192115,0.9964314459195351,1.8316665221609298,3.290447846441506
6,0.0713651185950923,0.04265796504130052,0.05520127983525251,0.028034591768309136,0.14887450106250533,0.08512985126870216,0.061926087187185064,0.15876173897407675,0.11288544937212786
7,0.06703790873848413,0.03438116250585514,0.05129397349682725,0.08375726269291905,0.03406190924606767,0.03397034799877448,0.06280338087950699,0.02698201510431586,0.25322058613341936
8,0.06300148823516173,0.04099361790391651,0.05314914970485194,0.13071936194295364,0.010885143358971727,0.05905326974589903,0.11566101759999903,0.07971899437327101,0.44005731030626194
9,0.0603132297256386,0.03453106357965943,0.0506741622914456,0.11052085630944286,0.03870663194926549,0.023561934403753086,0.07245724953950983,0.028764273459985334,0.3813169808212895
10,0.059881499025655455,0.026320248323475095,0.050009044236050515,0.0930986878530553,0.06561956236262789,0.018007213720325793,0.011234664503211644,0.05694631082346535,0.2664411218976803
11,0.057221492588288556,0.027319524707853354,0.04984292421301032,0.1011733110200761,0.06051109077602712,0.010251772831983572,0.02706669742284007,0.027785390132703425,0.3140118341814562
12,0.055116237232862374,0.029128346697587786,0.04990455741077754,0.11409837161932379,0.0670179844923725,0.016751517942514352,0.038534443383521966,0.018250332235109967,0.409964038194222
13,0.05382454655694556,0.027833077569780054,0.049991314356725124,0.13125980272892224,0.04511130838357913,0.010357077057796253,0.07124074412874726,0.05689626374081924,0.4548438284808465
14,0.05216339922975789,0.03221123285934603,0.05010576944916218,0.1302688183170071,0.039674555336748796,0.015974215506368017,0.07141694272446275,0.04657359176276721,0.42947200808613584
15,0.05106270893874933,0.02186712373528232,0.04974257153265803,0.12537455831593025,0.040681889287050854,0.007946101420963157,0.04624433548217188,0.0051403694435276925,0.34249421546115855
16,0.04968528317931275,,0.04968528317931275,0.12443629714254034,0.036711007475710544,0.006056589715058541,0.028081543211289528,0.04964580295727439,0.2619077598149735
