n_models,rms_train,rms_test,rms_all,midpoint_h_0.0,midpoint_h_0.2,midpoint_h_0.4,midpoint_h_0.6,midpoint_h_0.8,midpoint_h_1.0
5,0.05713264890688311,0.13168190103112015,0.11376017852989374,0.8479917560851529,0.8663611119637304,0.891932568837094,1.163697297979327,1.6973032182774586,2.1806181278023082
6,0.053288084683076914,0.15730966611993327,0.12857415913656442,1.0177648369528307,1.0419165170333688,1.0753300010604059,1.357774621200016,1.9060437603376128,2.4097376821691032
7,0.052224837070009016,0.12113339289457699,0.09719559053665015,0.5168865957210624,0.5985251321992654,0.6218853274163746,0.8057735809061939,1.1385067412839112,1.2702120620582762
8,0.05084874023802311,0.09762087841032191,0.07783132494502712,0.27359205375084983,0.406153014124072,0.41630526602544726,0.5225362327884941,0.712514954614754,0.6353827023868632
9,0.048007684379357304,0.10232441061175179,0.07666266810046325,0.26261055247733944,0.3960329043537785,0.4044956531043973,0.506786176779138,0.6908387102640328,0.6060293565473298
10,0.04643921156834219,0.08908153363287624,0.06575481043106467,0.13223545857381547,0.3002331245979662,0.295501552691663,0.346091586659218,0.44735755939316335,0.2546622698397667
11,0.04484065624134191,0.0827403135280224,0.05934397946889462,0.05477493776441511,0.25738501695623456,0.23710607881205373,0.23832084376131313,0.2674845203563774,0.01237439044997668
12,0.04397101051734975,0.07344372094406026,0.05290162909556671,0.02996383979984074,0.19930468394456613,0.16490220180352064,0.12871262366621683,0.10743497620417664,0.22975518058727973
13,0.046411897552681984,0.04106121868414195,0.045456645613711696,0.10013948358277469,0.11639540140922122,0.07178038061981176,0.02721880127598786,0.0010463273817657992,0.34415641140223463
14,0.04607768367327153,0.028239147377095958,0.044242965505043655,0.11725021512240175,0.07921502781835865,0.0376125414762854,0.009007374791079603,0.0038454649310315503,0.3124212764019443
15,0.04475967104102031,0.03294776863237639,0.04411418262118055,0.1177162465283843,0.0664002889087758,0.02982041960765744,0.016582178317815832,0.032857912256232025,0.2585557017875597
16,0.04395205512529182,,0.04395205512529182,0.13324330757336678,0.04280767764658788,0.008699685167098764,0.004548646052578098,0.034025212792307524,0.2416987629699605
