n_models,rms_train,rms_test,rms_all,rms_h0_all,rms_h0_test,rms_indiv_train,rms_indiv_test,rms_indiv_all,delta_rms_train,delta_rms_test,delta_rms_all,midpoint_h_0.0,delta_midpoint_h_0.0,midpoint_h_0.2,delta_midpoint_h_0.2,midpoint_h_0.4,delta_midpoint_h_0.4,midpoint_h_0.6,delta_midpoint_h_0.6,midpoint_h_0.8,delta_midpoint_h_0.8,midpoint_h_1.0,delta_midpoint_h_1.0
5,0.06754899450142486,0.16138471700058807,0.13903902981396235,0.26580778852935966,0.3199544751331721,0.06512430390548038,0.1488003470737839,0.12863777900026369,0.0024246905959444814,0.012584369926804173,0.010401250813698665,17.421920789070526,-3.745660497902719,9.802847365463847,1.5174976277277068,2.869057731485242,-0.15031546666995155,0.3443801694825481,0.3425076828821858,0.6430162790415039,0.23528188684556994,1.5628881393095497,-2.6655052876293155
6,0.06300353864921751,0.11593206643592703,0.09944191633026998,0.17169710519244646,0.21553752344140478,0.061462958921020175,0.11324969208893004,0.09712141225623754,0.001540579728197336,0.002682374346996988,0.002320504074032448,12.866294020081284,-0.9895909845322137,7.186855771909677,0.7586614347251697,1.8262659770698662,-0.24533155164814957,0.3791265415512157,0.21670874689048958,0.5487646120661935,0.08840832218042749,2.738462859650596,0.9031657862005744
7,0.05927158496972708,0.10636757934296268,0.08888841421668033,0.14885119894472892,0.19614016086064046,0.05846594108437464,0.12018121559049477,0.0980814664881482,0.0008056438853524389,-0.013813636247532096,-0.00919305227146787,11.560874163923529,-2.935540319191233,6.368622675477738,0.42513333824717847,1.4355856251436592,0.1160959099918415,0.411273664852601,0.18795024058978527,0.30214916624042587,-0.30770837576365295,2.3051954770334646,2.1960943255994323
8,0.05722499685484895,0.08217523897612176,0.070807733214036,0.10222282279818114,0.13924339383869158,0.05661900080728392,0.08951112746795663,0.07489310112754043,0.0006059960475650258,-0.007335888491834863,-0.004085367913504431,8.41528371270806,-2.5048302291955906,4.72221418505238,0.19935421439234347,0.8449376185658224,0.021253649665354146,0.3856987051367611,0.14542770426648133,0.09776090925618064,-0.24104386653030474,2.359011754109517,2.3032020514298353
9,0.05421938843623217,0.0762460192879842,0.064784193163937,0.08259776373724989,0.11684629036605679,0.05366722294073252,0.07838181274863244,0.0656351170067634,0.0005521654954996486,-0.0021357934606482387,-0.0008509238428263954,6.790528278566256,-0.9691390525411805,4.0713667972014775,0.17300603446531682,0.7249016469614702,0.003906416866314544,0.34232666831709935,0.10500686833209727,0.19642398923789983,-0.08549086890135982,2.854106289527053,2.839880412350368
10,0.051771688483819585,0.07580679148888013,0.06188855664604315,0.07542146002417893,0.11339772702479943,0.05126829801504642,0.07866604099258047,0.06295556957404276,0.0005033904687731655,-0.0028592495037003396,-0.0010670129279996138,6.131280088159798,-1.0229097736954316,3.7095127362149185,0.1261167556886278,0.5854945545418815,0.033297001319667174,0.31827920151428657,0.09838614737039109,0.05563810801287161,-0.1170135513485917,2.6337626734057835,2.5880539295249463
11,0.049858031110653254,0.07229252100145442,0.05781170885527223,0.059784166144500314,0.08945226365303162,0.049351028609153906,0.07272728485879291,0.057682890708194864,0.0005070025014993484,-0.00043476385733849654,0.00012881814707736694,4.415721456437836,0.2092878447082569,3.166641992389998,0.06156393308418728,0.5652607095742326,0.025432003510999834,0.2672375975351997,0.05016657712047845,0.2485879782580156,0.03690021948675337,3.2910436444078215,3.143201115542908
12,0.04807413986419689,0.07346284317229426,0.055520622515431585,0.05194510000703612,0.07786522853471545,0.047589966562226284,0.07404304290084268,0.05540033157436306,0.0004841733019706057,-0.0005801997285484195,0.00012029094106852378,3.276367911198406,0.6034605501519081,2.788288847659686,0.11668097745229034,0.5252978175085303,0.0329397001603553,0.22926386899573004,0.02474168516221198,0.2949610163119587,0.05167588934151013,3.522862930941969,3.186335786189346
13,0.04886100540989611,0.06592635483301117,0.05248513172220832,0.04583803496222976,0.06799859475808118,0.04845340872961596,0.06658603087638272,0.052334038368542765,0.00040759668028014784,-0.0006596760433715543,0.00015109335366555315,2.080792942201441,-1.1434501468247618,2.1905114539101476,0.45364405763157833,0.340749757706277,0.11017744494105841,0.12064069559161794,-0.013394729484488721,0.025951031908491018,-0.10693284698686512,3.045750018354994,2.7882826700390098
14,0.048949051935990216,0.06205792761538798,0.05077309102509739,0.04268989869543525,0.060996714079400605,0.048392059167710534,0.0630897397016875,0.050463916550671464,0.0005569927682796821,-0.001031812086299523,0.0003091744744259245,1.0393962657460065,-2.0134063138333147,1.7282237053759388,0.7070861399523665,0.23778522579895878,0.14825220255320914,0.0006862808254055608,-0.07077756332233776,0.28571856775347726,0.21287084871441664,2.7035859478380786,2.5238647615263403
15,0.04942641763083889,0.04970529152053314,0.04944389333022627,0.042201740851921084,0.029461586885880076,0.0487490022372632,0.04841271743242248,0.048728052428838396,0.0006774153935756866,0.0012925740881106623,0.0007158409013878764,1.0565496800573726,-0.13731336714030817,1.1378622544967243,0.7212220446403421,0.25884653098799504,0.21972089974870812,0.1612946425383086,0.1225592183644153,0.33054480002205366,0.281325292067649,2.9128453262217846,2.7974440754037886
16,0.04922781937364047,,0.04922781937364047,0.04442326306161053,,0.04846265921682238,,0.04846265921682238,0.0007651601568180941,,0.0007651601568180941,2.3043469015998994,2.3043469015998994,0.7668489884640337,0.7668489884640337,0.2586004964179409,0.2586004964179409,0.2842639770149873,0.2842639770149873,0.45027977352698656,0.45027977352698656,2.8619234768919313,2.8619234768919313
