n_models,rms_train,rms_test,rms_all,rms_h0_all,rms_h0_test,midpoint_h_0.0,midpoint_h_0.2,midpoint_h_0.4,midpoint_h_0.6,midpoint_h_0.8,midpoint_h_1.0
2,0.011963584926879225,0.418796801260977,0.39177137028330794,0.34069884065806727,0.3639799275516653,39.1148564920832,40.00477012984064,40.87110300431293,40.95642862618617,39.94500637966589,37.32294479502895
3,0.017175072831716084,0.44490029002988124,0.4010966556106727,0.33161646684496826,0.3673776329656767,22.716451041759502,23.61474385517286,24.50676577694097,24.66179539852645,23.852467868821545,21.97776547352526
4,0.016704190359524765,0.4143048682105919,0.3588957374518939,0.4022079244716671,0.4637703748972493,27.28795178289833,28.238338833907648,29.17495668607883,29.33055108251313,28.32449577679572,25.13129332926804
5,0.01862906489866972,0.23649939687729193,0.1963712718060399,0.2218751215510277,0.2662818876483176,0.35306293344691175,0.33173714846818436,1.1346758088809907,1.4562324110650273,1.3818743790601915,1.746063516786538
6,0.0246573594847275,0.49173261452500727,0.3890418963730439,0.2561045100351777,0.3227722287144493,2.022300516559379,2.4869131926040127,3.2663150344438563,3.7464585628343183,4.006638750365079,4.882387639692468
7,0.043153406268540535,0.1331603125473239,0.10386906867763644,0.17511190776128985,0.23119983029632887,1.7143462196280677,1.119874417293892,0.33767875348092213,0.04319092983273021,0.12092790734081316,0.7456163229977157
8,0.041682325520426305,0.05627173025648809,0.04951728933842067,0.052655751540794625,0.06559231928925613,0.7599181140213431,0.21210095219723568,0.5858813128401151,1.0380080628194186,1.2364842583859417,2.0262210609237084
9,0.039510584460897474,0.05170759517960092,0.04525311063533219,0.03818511750322172,0.04382631209120135,0.8449950471461372,0.2779866392248097,0.5159378035562064,0.9448174857519734,1.104208182343825,1.8417986462077223
10,0.03765077883414374,0.0545667021230855,0.04474997301096486,0.037863265347309036,0.0458177138099012,0.8505137038356214,0.2962354399168622,0.49802899247059984,0.9382442890335767,1.1182197552381639,1.8841690493530936
11,0.03894386418825728,0.05603788246051971,0.044988951067416835,0.03382876057088822,0.037277205730022064,0.9956473104310639,0.46315795291568024,0.3337565083704923,0.7958644612389714,1.0128779211676167,1.827759587688842
12,0.03746183384751318,0.06210062283185123,0.044907277644497375,0.03244935144121704,0.033254843550986554,0.9877366490933686,0.47061290272878054,0.3291741831905331,0.8074816167599659,1.0504118685547619,1.8982495784306006
13,0.04139561500965254,0.026488989670844107,0.03903664942053018,0.032179323415607766,0.03989751128512093,0.8958059721571532,0.36737069309327164,0.4454273907050941,0.9377270319214064,1.1951430049907248,2.057627896302017
14,0.04092651322026753,0.02018359347828863,0.03894264024863676,0.03427263515566788,0.056541605550010414,0.8697206446002967,0.3262138685110857,0.48448466689274183,0.9622885202213537,1.1962800624259369,2.0289558803818104
15,0.039799331102218755,0.02057986377556297,0.03887747752216353,0.03309652313050966,0.05905398210188739,0.874378396267413,0.3264569341979945,0.482035747149052,0.9526682892397594,1.1757732796192506,1.9947989159488517
16,0.038809466092238724,,0.038809466092238724,0.03071923757242596,,0.8844777300992153,0.32867424966826364,0.4747091058140589,0.9301374606170476,1.130206351501572,1.920142807286262
