n_models,rms_train,rms_test,rms_all,rms_h0_all,rms_h0_test,rms_indiv_train,rms_indiv_test,rms_indiv_all,rms_indiv_h0_test,rms_indiv_h0_all,delta_rms_train,delta_rms_test,delta_rms_all,delta_rms_h0_test,delta_rms_h0_all,midpoint_h_0.0,delta_midpoint_h_0.0,midpoint_h_0.2,delta_midpoint_h_0.2,midpoint_h_0.4,delta_midpoint_h_0.4,midpoint_h_0.6,delta_midpoint_h_0.6,midpoint_h_0.8,delta_midpoint_h_0.8,midpoint_h_1.0,delta_midpoint_h_1.0
2,0.036363905331501946,0.47225706521104954,0.44194307935287785,0.2556003616766337,0.2732236486821602,,,,,,,,,,,31.42282261360303,,28.91381824655386,,22.110230404028613,,14.014209026361783,,4.436938278493699,,12.012318695115724,
3,0.15282518864527544,0.4873254230873719,0.4442258363355366,0.3386002962374517,0.37553554701068537,0.03353029978966182,0.190310562399769,0.17215695511361623,0.2835363708058149,0.2555773345835167,0.11929488885561362,0.2970148606876029,0.27206888122192036,0.09199917620487047,0.08302296165393497,19.83090032552809,-12.685388820141867,31.66137713380894,-106.12887145336319,22.777599069045436,8.943137263003763,14.172708944772552,-0.5678420650715594,4.439205281797442,0.8825837566378283,11.93469309298085,-11.186429121163627
4,0.04418970841407174,0.18453577656491482,0.1613327995379188,0.24834015803028858,0.2860137569508238,0.03032566155511392,0.1809933792565524,0.15747655043916375,0.5394562136132759,0.467230434829754,0.013864046858957823,0.0035423973083624216,0.003856249098755038,-0.2534424566624521,-0.21889027679946543,15.26429525199589,-10.596943640530512,13.652643329513083,2.436658991742135,8.277720340857812,7.579792977716707,2.815986788050708,2.5400963211012026,0.25224672609400045,-1.3755733513442863,27.37139873551581,-44.92714454831504
5,0.04837436634585321,0.224343869950238,0.18797145535020013,0.27794204943361855,0.3344141363380343,0.03329526155373606,0.19248729965123473,0.16068366399678843,0.3918233029610322,0.3251373649956705,0.015079104792117153,0.03185657029900327,0.027287791353411694,-0.05740916662299789,-0.04719531556205192,16.655197876566177,-2.6533627117747045,15.38260046993993,6.768336052529278,10.392786514089323,4.711475210028709,5.215836164923928,2.9796217345692213,1.1176076065939213,0.9116000785987524,1.2793564483518196,-1.7621770056098711
6,0.04760410670621699,0.15632059282001842,0.1269739597436718,0.168334142116352,0.21040257194867704,0.032414446803476576,0.125810661277968,0.10142343266026115,0.2614209944315903,0.20724336934621465,0.015189659902740411,0.030509931542050422,0.025550527083410643,-0.051018422482913245,-0.03890922722986265,11.079830744939443,-2.963137396317819,11.024100853482793,1.6098967666606825,7.479976803955196,1.9148014213524789,3.9256972062430293,1.6083013895588323,1.116491237135648,0.8139428240109368,4.158468066138553,2.657445930651477
7,0.04779106383566266,0.20353733664004872,0.1558915743266236,0.21707415730403673,0.2862800843080933,0.03261737932862683,0.1758297975118656,0.13362548252425638,0.31956412556517555,0.24022407231304665,0.01517368450703583,0.027707539128183134,0.022266091802367216,-0.03328404125708223,-0.023149915009009925,13.689492334708376,-1.845557438332449,13.092591162926965,0.53650392138222,8.912263332424317,1.1525445277306972,4.638169836639861,1.1427456567408143,1.146893342230257,1.0967345334674405,4.090453456199086,3.962817007753202
8,0.05083507236828751,0.15900738829191488,0.11804142093795893,0.15148966136525902,0.20650233959937458,0.03576110765132794,0.13198222461517323,0.09669065217181003,0.22593872267495133,0.1618010688221386,0.015073964716959563,0.027025163676741654,0.0213507687661489,-0.01943638307557674,-0.010311407456879584,10.09938229126496,-1.7160816331959268,10.353941371189478,1.101108241479693,7.134814293010038,0.9982116391055911,3.8747524697524796,1.3938004649109246,1.18263445339619,1.01908211079801,4.661334591386293,4.578846208976188
9,0.053127391253512346,0.11819953191512939,0.08774985139849378,0.10465412359226324,0.14198298179600968,0.03780776642837424,0.09586518177125687,0.06946031976647501,0.16289290498933137,0.11148141139633547,0.015319624825138108,0.022334350143872514,0.01828953163201877,-0.02090992319332169,-0.006827287804072227,6.335900774499095,-2.3499469409005656,7.5448920464407365,0.7443083190748041,5.353695602783489,1.0985495501131481,3.13349476375555,1.534344923992208,1.3039453211456618,1.050443097928138,4.430905335595384,4.425874455414544
10,0.051848091646691644,0.1246531646202805,0.0866432032725093,0.10475870397388128,0.15175746206245613,0.036042584234341056,0.10290987081882834,0.06916164392863618,0.1666207895408532,0.10600431054286881,0.015805507412350588,0.021743293801452165,0.017481559343873118,-0.014863327478397054,-0.001245606568987534,6.370788463344894,-1.913264470113262,7.488110515332409,0.6531871451748543,5.2336195177652485,1.1326849144354867,3.0148946909559555,1.3957070994143663,1.3303474953060146,1.0593765826990875,3.931787290386083,3.8858283457854697
11,0.054340276562193986,0.09110754150798622,0.06800020350316983,0.07748864545063312,0.09735823085975194,0.03862402544345199,0.0722947849811962,0.051564673247175515,0.11105368204497607,0.0706346789726657,0.015716251118741996,0.018812756526790028,0.01643553025599432,-0.013695451185224125,0.006853966477967419,2.640070246889792,-2.62882911571279,4.937402243970013,0.3568392869493948,3.8344864730999006,1.468645724395941,2.612260649689503,1.5684096995893952,1.4961223486405686,1.2376680980402313,4.240935596280025,4.119312145627248
12,0.05454968801985807,0.08026441232535805,0.06198665436028677,0.07285431252759383,0.0854905451302127,0.03872764046665998,0.06217062876641433,0.0457293054002462,0.09325501730150441,0.05861381685920778,0.01582204755319809,0.01809378355894372,0.016257348960040566,-0.007764472171291711,0.014240495668386054,0.8767185331244036,-2.914337032692714,3.696118830531674,0.5349464767992913,3.106984000861843,1.5022952020709965,2.3566387865738534,1.611258929966212,1.607981372667794,1.3648480056108667,3.98425989329219,3.6424313602668974
13,0.05349054325347928,0.08685082909673293,0.061148025506015995,0.07248855399230703,0.08954514409489714,0.03761794803922871,0.0688224735070698,0.0451428488036598,0.10817556229980371,0.058784485008250655,0.015872595214250572,0.018028355589663134,0.016005176702356197,-0.018630418204906574,0.013704068984056371,0.8912828531979073,-2.9239252250991967,3.5833870975209265,0.5780717259445964,2.9308315087522203,1.4189542149322847,2.225814975758354,1.6798736113422308,1.7072862459705362,1.4969809027742542,3.3364313760992133,3.074828083253138
14,0.05237409464049149,0.09881978139711596,0.06017336383447819,0.0717548991302679,0.09881605789467789,0.0365573581177712,0.08138300994609866,0.044690990892661465,0.1244115374896937,0.056610182265520684,0.01581673652272029,0.017436771451017297,0.015482372941816723,-0.02559547959501582,0.01514471686474722,0.694361252973863,-2.8196465030792126,3.3803706840739096,0.6287279082563941,2.757779742433115,1.4123533614516077,2.1423275865092677,1.7093598339097724,1.813510489233451,1.643733280315729,2.8673439332802957,2.6886483386142714
15,0.054491949456248766,0.07541060667880982,0.056028646653297876,0.06982184736713087,0.04012916183597448,0.03885316631119184,0.0634898715023649,0.04083081845360789,0.07439211014788172,0.04586851385567746,0.015638783145056928,0.011920735176444916,0.015197828199689983,-0.03426294831190724,0.023953333511453415,2.0823723766771423,0.8209207791488495,1.7465708224430614,0.5631128414789544,2.1044820683163152,1.581425808664477,2.1704114153860985,1.9552767651722576,1.9953488219125006,1.8983142639538784,3.4527822209437318,3.3402846445777925
16,0.05532153837142775,,0.05532153837142775,0.07234012516156185,,0.040138785979961185,,0.040138785979961185,,0.044504944830255404,0.015182752391466568,,0.015182752391466568,,0.02783518033130645,3.829772405839975,3.829772405839975,0.6678259994442044,0.6678259994442044,1.614362748077724,1.614362748077724,2.1429669508666365,2.1429669508666365,2.2377600126112327,2.2377600126112327,3.23197514295984,3.23197514295984
