n_models,rms_train,rms_test,rms_all,rms_h0_all,rms_h0_test,rms_indiv_train,rms_indiv_test,rms_indiv_all,rms_indiv_h0_test,rms_indiv_h0_all,delta_rms_train,delta_rms_test,delta_rms_all,delta_rms_h0_test,delta_rms_h0_all,midpoint_h_0.0,midpoint_h_0.2,midpoint_h_0.4,midpoint_h_0.6,midpoint_h_0.8,midpoint_h_1.0
2,0.03636390502869591,0.47644161567119775,0.44585572576684007,0.3482221262240049,0.3722470294781586,,,,,,,,,,,53.764530375470905,53.695793989174696,54.222965102341306,54.80636072292262,55.15081107386963,55.710292564558245
3,0.0331721693640894,0.48057739511921577,0.4334246909466641,0.28583798841542574,0.3170572102399633,0.006865093846430476,0.46508255434288603,0.4192302886797353,0.5345029667397257,0.4818147305233719,0.026307075517658922,0.015494840776329732,0.014194402266928807,-0.21744575649976244,-0.1959767421079462,99.28546740640185,99.27060546880432,99.86317114394579,100.52124043778144,100.92096004310778,101.27751590931194
4,0.034496380505919064,0.22234365391706265,0.19332621497069452,0.2930424241777411,0.33772420521450025,0.011338058139093696,0.1569151121192697,0.13601066943127513,0.4711262047294062,0.4080339882862601,0.023158322366825367,0.06542854179779295,0.057315545539419394,-0.13340199951490594,-0.11499156410851896,3.125762474917032,3.0404575562780796,2.33230774229403,1.5689604546589258,1.2582582391807204,3.2210710346305955
5,0.04067461778133682,0.29260320296460596,0.24367692505842897,0.3628033852929664,0.4369275582150298,0.021490387977005455,0.24406477755587086,0.20272409759855498,0.45555806583904834,0.3779909988158188,0.019184229804331362,0.0485384254087351,0.040952827459874,-0.018630507624018522,-0.015187613522852417,4.192002246434983,4.143768585930928,3.4859195367704032,2.7916038796462797,2.558708295864646,4.158625210635675
6,0.04049076923066958,0.27425671757322306,0.21823217076340598,0.3179098493268734,0.40093019873589775,0.021733336343526272,0.23089638920034855,0.18302415361594243,0.4315866487551141,0.3414747633365786,0.018757432887143304,0.04336032837287451,0.03520801714746355,-0.030656450019216352,-0.02356491400970523,3.3641076542639845,3.3875294044729327,2.8063052140538542,2.163674576088399,1.7846895878117437,1.4439703524359606
7,0.04238099618986597,0.18165979785311867,0.13909879161737923,0.18356514848884242,0.24117967474641175,0.023015843817707674,0.1523477687383368,0.11527052073883513,0.27038538594769823,0.203285645856126,0.019365152372158294,0.029312029114781868,0.023828270878544097,-0.029205711201286483,-0.019720497367283568,2.046925290608053,2.1507304634995768,1.631546896156032,0.977219921350102,0.3180217361151707,1.4821516256237528
8,0.045758033027978616,0.1278226837750126,0.09600113560275329,0.10582370418769935,0.13940390853910875,0.027504700571802702,0.10007131304540891,0.07338520371361229,0.17573109767025347,0.12628147768465986,0.018253332456175914,0.027751370729603694,0.022615931889141003,-0.036327189131144716,-0.020457773496960513,1.6810059507408552,1.8267945994569694,1.3297089067101735,0.6471609389208887,0.16785386790310475,2.4767884477529445
9,0.04762686997240699,0.06918593709477286,0.05805263017948138,0.052342767506198574,0.04520511262282621,0.029757213655458126,0.04650422344868684,0.03800322804610404,0.09167567060505352,0.06514823426477653,0.017869656316948864,0.022681713646086017,0.020049402133377345,-0.04647055798222731,-0.012805466758577959,1.3687489150044247,1.5133690975216805,1.0089191108047963,0.3069376162923384,0.5521996610648343,2.95998801511822
10,0.046730425835393365,0.07337592838763296,0.058170808931571436,0.053185892813456,0.04591334039409769,0.02845626899467048,0.05082737783710691,0.03840420426019999,0.09060007368546846,0.06040247042082774,0.018274156840722883,0.02254855055052605,0.019766604671371445,-0.044686733291370774,-0.007216577607371738,1.3787379958885109,1.5085341673049262,0.9940503349741081,0.29362044099349466,0.5367672930917713,2.849212030458155
11,0.04733970550420212,0.04757257911643678,0.04741260137638688,0.051092658368922225,0.02169626160172843,0.02915217932200128,0.02841790963501328,0.028924722439854774,0.04120600914956093,0.03482958018452002,0.01818752618220084,0.0191546694814235,0.018487878936532105,-0.0195097475478325,0.016263078184402202,1.2647961769164526,1.407554933188475,0.896927004144529,0.18065705408824803,0.7087689331013163,3.1808889530196343
12,0.04721455629913111,0.03823031350573184,0.04513645934917249,0.056668180513800924,0.041875167155709374,0.028965672840526806,0.024289393613777986,0.027870258571810632,0.027003268870684036,0.02964133015546032,0.0182488834586043,0.013940919891953854,0.01726620077736186,0.014871898285025338,0.027026850358340605,1.1971419833215178,1.3374272800584988,0.8253944370462318,0.11008269592526132,0.7732040451289142,3.2273328038936047
13,0.047173212884555775,0.03342944950788677,0.04491773067458446,0.06691514784432766,0.08471438774473886,0.029087345568173318,0.029493642268320967,0.02916395735898313,0.02709214182382345,0.029752478476089913,0.018085867316382457,0.003935807239565801,0.015753773315601332,0.0576222459209154,0.03716266936823774,1.1719710297135526,1.3118469273704838,0.7943597594784345,0.06400156859395562,0.8533265439067352,3.3817525312996977
14,0.04622634515158271,0.030298434358454637,0.04454789561119353,0.06275912765667291,0.07232781821480645,0.02848546939373686,0.023527087299363203,0.027913880066336383,0.021986414560462058,0.02876300762430177,0.01774087575784585,0.006771347059091434,0.016634015544857148,0.05034140365434439,0.03399612003237114,1.1788153432189183,1.3103088949077044,0.7896775885233412,0.06727092381116291,0.8184154888896655,3.2620036434354915
15,0.045367293479841864,0.027513180709013593,0.044461953453218274,0.06160426020744972,0.07613497717578288,0.02768466105480719,0.024003651749160006,0.027469053227095763,0.026325298908092876,0.02858469253678291,0.017682632425034674,0.003509528959853587,0.01699290022612251,0.049809678267690005,0.033019567670666806,1.1861687087863255,1.3168886051102247,0.7962086881511339,0.07527359434816568,0.80568560893169,3.2371304054851935
16,0.04441714288260029,,0.04441714288260029,0.05988485910092277,,0.027207484038616652,,0.027207484038616652,,0.028440158549119913,0.01720965884398364,,0.01720965884398364,,0.03144470055180286,1.1942811964306799,1.3218756716123106,0.8002619808025475,0.08314266667958807,0.7835669152850055,3.176424018218833
