model,hint_0.00,hint_0.05,hint_0.10,hint_0.15,hint_0.20,hint_0.25,hint_0.30,hint_0.35,hint_0.40,hint_0.45,hint_0.50,hint_0.55,hint_0.60,hint_0.65,hint_0.70,hint_0.75,hint_0.80,hint_0.85,hint_0.90,hint_0.95,hint_1.00
Llama-3.1-70B-Instruct,,,,,0.49439270386266093,,0.5975311158798283,,,,0.8143079399141631,,0.8839077253218884,,0.9299656652360514,,0.962824034334764,,0.9737628755364807,0.9786212446351931,0.985112660944206
Llama-3.1-8B-Instruct,0.14745064377682404,,,,,,,,,,0.5672349785407725,,0.6853540772532188,,0.7652789699570814,,0.838093347639485,,0.8833090128755365,,0.9625665236051503
Qwen2.5-1.5B-Instruct,0.023777896995708155,0.025768240343347643,0.031438841201716736,0.039236051502145916,0.0504892703862661,0.05833369098712447,0.07129184549356224,0.08549570815450643,0.11202682403433477,0.13053540772532188,0.16835622317596569,0.20387446351931332,0.2512135193133047,0.2871577253218884,0.3386942060085837,0.40492274678111584,0.4455010729613734,0.503082618025751,0.5741062231759656,0.6736405579399142,0.7873218884120171
Qwen2.5-14B-Instruct,0.2337274678111588,0.24694635193133047,0.2925525751072961,0.31533047210300424,0.3567542918454935,0.41034120171673816,0.4358851931330472,0.5003819742489272,0.5480042918454935,0.6062199570815451,0.655895922746781,0.6964173819742489,0.747043991416309,0.7902381974248927,0.8288809012875535,0.8569678111587982,0.8850665236051503,0.9052864806866953,0.9189871244635193,0.9402821888412016,0.9689216738197425
Qwen2.5-32B-Instruct,0.27800321888412016,0.2989828326180258,0.3459087982832618,0.3802961373390558,0.4198809012875536,0.4697478540772532,0.5173497854077254,0.5729012875536481,0.6097017167381975,0.6616877682403434,0.7035912017167382,0.7518723175965665,0.7929753218884119,0.8318776824034335,0.8604763948497854,0.8851115879828326,0.9105772532188842,0.9223798283261803,0.9452103004291846,0.9570665236051502,0.9838036480686695
Qwen2.5-3B-Instruct,0.09834227467811159,0.0990010729613734,0.10156008583690988,0.11274141630901287,0.12400321888412018,0.13438197424892703,0.14638412017167382,0.1587285407725322,0.17697639484978542,0.1940772532188841,0.20507832618025754,0.23628648068669525,0.25682618025751075,0.27879399141630906,0.3003015021459227,0.3324302575107296,0.3538744635193133,0.37769098712446353,0.4163809012875537,0.47859656652360516,0.7182950643776823
Qwen2.5-7B-Instruct,0.20167703862660943,0.20265021459227467,0.21213090128755366,0.2320675965665236,0.24767274678111587,0.26139377682403436,0.28222210300429185,0.30609334763948504,0.32994527896995707,0.36389377682403434,0.3950675965665236,0.42708369098712445,0.4647972103004292,0.5120836909871246,0.5510064377682404,0.6003948497854076,0.6494592274678112,0.6972178111587983,0.7666051502145922,0.8331791845493562,0.9659377682403434
Qwen3-0.6B,0.24636909871244633,,0.2504238197424893,,0.29085085836909874,,,0.3256781115879828,0.25745064377682403,,,0.4212521459227468,0.44501287553648067,0.48338519313304723,0.43124785407725325,0.464318669527897,0.5012682403433476,0.6627521459227469,0.5848293991416309,0.6842864806866953,0.6766212446351931
Qwen3-1.7B,0.6085407725321889,,0.5920236051502146,,0.5956448497854077,,0.6081641630901287,0.547192060085837,0.6475364806866952,,0.6821845493562232,,0.6327242489270386,0.6626770386266095,0.783401287553648,0.7192231759656652,0.7379130901287554,0.7634678111587982,0.8703755364806868,0.9032682403433475,0.9217896995708154
Qwen3-14B,0.6622371244635193,0.5809495708154506,0.5721115879828326,,0.6956062231759657,,0.574755364806867,,,,0.6416416309012876,,,,0.597343347639485,,0.5780396995708154,0.6070450643776825,0.5800836909871245,,0.5646652360515021
Qwen3-32B,,,,,,,,,,,,,,,,,0.7847103004291844,,,,0.8765396995708156
Qwen3-4B,,,0.5439270386266094,,0.51600321888412,,0.507131974248927,,0.507662017167382,,0.513725321888412,,0.8466577253218884,,,0.8634731759656652,0.7347027896995708,0.5749635193133047,0.5711566523605149,0.5524484978540772,0.6165515021459228
Qwen3-8B,0.674387339055794,0.6500912017167382,0.6456115879828326,,0.652843347639485,0.6644077253218884,0.8147575107296138,,0.8323969957081545,0.7195751072961373,0.7381577253218884,,0.7717317596566523,,0.8012124463519312,,0.9202789699570815,0.8362725321888411,0.8510579399141631,0.8630268240343348,0.950656652360515
gemma-3-12b-it,0.2867757510729614,,0.3235912017167382,,0.35863090128755365,,0.40285944206008584,,0.44603755364806863,,0.5078690987124463,,0.5738755364806867,,0.643293991416309,,0.7141362660944206,,0.7874839055793991,,0.838961373390558
gemma-3-27b-it,0.362456008583691,,0.43012339055793997,,0.47075,,0.5139023605150216,,0.5659002145922747,,0.6231791845493563,,0.6810718884120172,,0.7343948497854077,,0.7839463519313304,,0.8302929184549357,,0.8634849785407726
gemma-3-4b-it,0.14212982832618024,,0.12713626609442058,,0.13493669527896998,,0.14650107296137338,,0.1579635193133047,,0.18151609442060088,,0.20496244635193134,,0.24067811158798283,,0.2780600858369099,,0.3308980686695279,,0.40425858369098716
