n_models,rms_train,rms_test,rms_all,rms_h0_all,rms_h0_test,rms_indiv_train,rms_indiv_test,rms_indiv_all,rms_indiv_h0_test,rms_indiv_h0_all,delta_rms_train,delta_rms_test,delta_rms_all,delta_rms_h0_test,delta_rms_h0_all,midpoint_h_0.0,delta_midpoint_h_0.0,midpoint_h_0.2,delta_midpoint_h_0.2,midpoint_h_0.4,delta_midpoint_h_0.4,midpoint_h_0.6,delta_midpoint_h_0.6,midpoint_h_0.8,delta_midpoint_h_0.8,midpoint_h_1.0,delta_midpoint_h_1.0
2,0.011963584928880774,0.5762692896918141,0.539067155725716,0.25692324462594207,0.274340906864424,,,,,,,,,,,31.39012881258091,,20.833954146186542,,10.333449205550778,,2.693170850989432,,3.258087592112034,,11.699416617949396,
3,0.04550607555352242,0.3733439353090354,0.3371040669393997,0.13937923817075876,0.1537038224080378,0.043823211891562956,0.38309055540266845,0.34583416175647896,0.2846941359852135,0.25662010605358404,0.0016828636619594661,-0.00974662009363303,-0.00873009481707926,-0.1309903135771757,-0.11724086788282528,24.43491075715511,-9.703899837816422,62.33323154918003,11.692495537461426,423.81650502447826,339.76199509220214,13.627678760678364,-7.239851519864786,12.179972554905135,-1.3203498386322678,27.440784744213218,5.292607514098691
4,0.04158743186642225,0.1690284320497814,0.1478524154460006,0.0900134506237403,0.10160464338274194,0.040207959985208895,0.21035591588560504,0.18327950928185302,0.5141028377251334,0.445313783692853,0.0013794718812133525,-0.04132748383582363,-0.03542709383585241,-0.4124981943423915,-0.3553003330691127,7.122372815578103,-18.042260016180336,1.5636627604751823,-4.649579140247539,8.578627390024678,-2.6469739256174307,7.390858439600592,2.8058405993324698,55.42594743694617,-3655.3151238894325,78.02091833362859,5.638029007764544
5,0.06754899450142486,0.16138471700058807,0.13903902981396235,0.26580778852935966,0.3199544751331721,0.06512430390548038,0.1488003470737839,0.12863777900026369,0.4370753909490416,0.3625944157493731,0.0024246905959444814,0.012584369926804173,0.010401250813698665,-0.11712091581586948,-0.09678662722001347,17.421920789070526,-3.745660497902719,9.802847361544806,1.5174976277277068,2.869057731485242,-0.15031546666995155,0.3443801694825481,0.3425076828821858,0.6430161209864593,0.23528188684556994,1.5628881393095355,-2.665505287629344
6,0.06300353864921751,0.11593206643592703,0.09944191633026998,0.17169710519244646,0.21553752344140478,0.061462958921020175,0.11324969208893004,0.09712141225623754,0.24610620150012974,0.19559512156581862,0.001540579728197336,0.002682374346996988,0.002320504074032448,-0.030568678058724957,-0.02389801637337216,12.866294020081284,-0.9895909845322137,7.186855767990636,0.7586614347251697,1.8262659770698662,-0.24533155164814957,0.3791265415512157,0.21670874689048958,0.5487644540111489,0.08840832218042749,2.738462859650582,0.903165786200546
7,0.05927158496972708,0.10636757934296268,0.08888841421668033,0.1488511989447289,0.19614016086064046,0.05846594108437464,0.12018121559049477,0.0980814664881482,0.27710292602878756,0.20880473545544403,0.0008056438853524389,-0.013813636247532096,-0.00919305227146787,-0.0809627651681471,-0.05995353651071514,11.560874163923529,-2.935540319191233,6.368622671558697,0.42513333824717847,1.4355856251436592,0.1160959099918415,0.411273664852601,0.18795024058978527,0.30214900818538126,-0.30770837576365295,2.3051954770334504,2.196094325599404
8,0.05722499685484895,0.08217523897612176,0.070807733214036,0.10222282279818114,0.13924339383869158,0.05661900080728392,0.08951112746795663,0.07489310112754043,0.19587236297303817,0.14100458422351997,0.0006059960475650258,-0.007335888491834863,-0.004085367913504431,-0.05662896913434659,-0.03878176142533883,8.41528371270806,-2.5048302291955906,4.722214181133339,0.19935421439234347,0.8449376185658224,0.021253649665354146,0.3856987051367611,0.14542770426648133,0.09776075120113603,-0.24104386653030474,2.3590117541095026,2.303202051429807
9,0.05421938843623217,0.0762460192879842,0.064784193163937,0.08259776373724989,0.11684629036605679,0.05366722294073252,0.07838181274863244,0.0656351170067634,0.13638167882856086,0.09474064856807124,0.0005521654954996486,-0.0021357934606482387,-0.0008509238428263954,-0.019535388462504077,-0.012142884830821349,6.790528278566256,-0.9691390525411805,4.0713667932824364,0.17300603446531682,0.7249016469614702,0.003906416866314544,0.34232666831709935,0.10500686833209727,0.19642383118285522,-0.08549086890135982,2.8541062895270386,2.8398804123503396
10,0.051771688483819585,0.07580679148888013,0.06188855664604315,0.07542146002417893,0.11339772702479943,0.05126829801504642,0.07866604099258047,0.06295556957404276,0.13445558669936092,0.08734358318620304,0.0005033904687731655,-0.0028592495037003396,-0.0010670129279996138,-0.021057859674561488,-0.01192212316202411,6.131280088159798,-1.0229097736954316,3.7095127322958774,0.1261167556886278,0.5854945545418815,0.033297001319667174,0.31827920151428657,0.09838614737039109,0.055637949957827004,-0.1170135513485917,2.6337626734057693,2.5880539295249463
11,0.049858031110653254,0.07229252100145442,0.05781170885527223,0.059784166144500314,0.08945226365303162,0.049351028609153906,0.07272728485879291,0.05768289070819486,0.08519575389509083,0.057794309554041495,0.0005070025014993484,-0.00043476385733849654,0.00012881814707737388,0.004256509757940785,0.001989856590458819,4.415721456437836,0.2092878447082569,3.166641988470957,0.06156393308418728,0.5652607095742326,0.025432003510999834,0.2672375975351997,0.05016657712047845,0.248587820202971,0.03690021948675337,3.2910436444078073,3.143201115542908
12,0.04807413986419689,0.07346284317229426,0.055520622515431585,0.051945100007036116,0.07786522853471545,0.047589966562226284,0.07404304290084268,0.05540033157436306,0.06770928536502076,0.04817331829848854,0.0004841733019706057,-0.0005801997285484195,0.00012029094106852378,0.01015594316969469,0.0037717817085475766,3.276367911198406,0.6034605501519081,2.788288843740645,0.11668097745229034,0.5252978175085303,0.0329397001603553,0.22926386899573004,0.02474168516221198,0.2949608582569141,0.05167588934151013,3.5228629309419546,3.186335786189346
13,0.048861005409895346,0.06592634769495509,0.05248513004106736,0.04583802776496959,0.0679985651574434,0.04845340872961617,0.0665860312903546,0.05233403846730062,0.08733994873191564,0.05121578648237789,0.0004075966802791764,-0.0006596835953995156,0.00015109157376674148,-0.019341383574472237,-0.005377758717408296,2.080791234205833,-1.143452119806824,2.1905112619233478,0.45364387879703827,0.3407499721184024,0.11017766058262168,0.12064070641787339,-0.01339481511170959,0.025950600563504622,-0.10693309847157195,3.0457513806744885,2.78828473683852
14,0.04894905193598999,0.06205792384647052,0.0507730904492725,0.042689896374771934,0.060996691156147156,0.048392059167710194,0.06308973962131632,0.05046391653811122,0.10277218843019173,0.05015269880617062,0.0005569927682797932,-0.001031815774845804,0.00030917391116128123,-0.041775497274044573,-0.007462802431398685,1.039395141293511,-2.0134074431017837,1.7282236563216031,0.7070861412556724,0.2377853944169317,0.14825237117118206,0.0006861958827499848,-0.07077776494212173,0.28571813562346904,0.21287035152867873,2.703587173888721,2.523865875065269
15,0.049426417630839825,0.04970528868283392,0.049443893151933316,0.042201741351131174,0.029461576065016426,0.048749002237263195,0.048412717761654005,0.048728052449282196,0.06874053262565805,0.04221902484112638,0.0006774153935766303,0.001292570921179917,0.0007158407026511202,-0.03927895656064162,-1.7283489995204016e-05,1.056550243504205,-0.1373128754416939,1.1378621800317887,0.7212219740944477,0.2588466099105773,0.21972100229120883,0.16129470596651174,0.12255939955301187,0.3305449254939674,0.28132540869597733,2.9128454929684864,2.7974430556761263
16,0.04922781937364109,,0.04922781937364109,0.04442326133433995,,0.04846265921682308,,0.04846265921682308,,0.040957025840664844,0.0007651601568180108,,0.0007651601568180108,,0.003466235493675106,2.3043460955635737,2.3043460955635737,0.7668489758068517,0.7668489758068517,0.2586003694070911,0.2586003694070911,0.28426403127775757,0.28426403127775757,0.45028029442707407,0.45028029442707407,2.861922757743983,2.861922757743983
