n_models,rms_train,rms_test,rms_all,midpoint_h_0.0,midpoint_h_0.2,midpoint_h_0.4,midpoint_h_0.6,midpoint_h_0.8,midpoint_h_1.0
5,0.04168292457645665,0.09181169754853676,0.08038143796818382,0.19515299262729147,0.26577165150626714,0.34807564191767176,0.17752327998757889,0.3843467994693983,0.9890560474965904
6,0.06752487469926244,0.172656717120358,0.14456250711014026,1.0640512262353878,1.0878934180367825,1.068005605064127,1.24383363299299,1.7098492587571936,2.036940404333091
7,0.06488390318072343,0.11878324193398802,0.10016575435900404,0.4415389167356304,0.5818184311815031,0.5722494823590396,0.6297145283898876,0.8186554922562608,0.6691126930711784
8,0.06294505521290626,0.06701542526525076,0.06513165166093718,0.12659887431636108,0.267674884665827,0.24487656676053854,0.27579325502161856,0.42553555093004314,0.2247766688729027
9,0.06116601693881171,0.03072220281902308,0.049242714971417516,0.062451233348843394,0.10273275619870426,0.07050759456391997,0.06278856646788711,0.14842978680075358,0.13864520631613075
10,0.05812847605822297,0.02899330132569878,0.04830873623394414,0.09228519101250265,0.08524758343199701,0.052412100126306205,0.033682682715940215,0.0999713680808354,0.21313508092010736
11,0.0556411597101786,0.027786124285470837,0.047704813796855684,0.10613656458117582,0.06541224583950456,0.029142533791349484,0.009017533652978194,0.07554315995731642,0.23601849176022904
12,0.05364834331459117,0.03148632987715742,0.04819975697428893,0.1014240683689478,0.09209277050042375,0.057062723234925505,0.022317936308071107,0.06209619616856399,0.2854584535082112
13,0.05167663254586474,0.033571362480642956,0.048034492559037044,0.11647945093808687,0.09109928855590343,0.05376945108856787,0.004997109557983714,0.022363491694915583,0.35354960142825753
14,0.05106801051989394,0.022816712932280946,0.04732428237891157,0.13409494731061322,0.05551883092925791,0.015364094952872151,0.025336299499081005,0.0079380933662343,0.3464629877300509
15,0.04984604241052943,0.020115195035454655,0.04732780634139949,0.13470052513653408,0.04176743228270008,0.0007918289825912944,0.03148333704478923,0.01714577272245177,0.316728620548683
16,0.04852090831627421,0.016833706990354937,0.04724892180059446,0.1283913386195661,0.04384920251169799,0.0047443428049774305,0.020964507047141256,0.037840330802792144,0.28309546911982775
17,0.04722569350787493,,0.04722569350787493,0.12436713635910879,0.040787660266841,0.004652796951780239,0.010114015967391143,0.06594609563753329,0.23274871845888923
