n_models,rms_train,rms_test,rms_all,midpoint_h_0.0,midpoint_h_0.2,midpoint_h_0.4,midpoint_h_0.6,midpoint_h_0.8,midpoint_h_1.0
5,0.04168292457703759,0.09181171147586138,0.0803814491973032,0.19515286400828113,0.2657716612106714,0.3480758225397208,0.1775234119605148,0.38434688521051985,0.9890566986322606
6,0.06752487469885778,0.1726567486096578,0.1445625314452544,1.0640517651345673,1.0878938176040946,1.0680058607161835,1.2438339840448305,1.709849860678252,2.036941490798469
7,0.06488390318000847,0.11878308752505554,0.10016564664798683,0.4415375903409735,0.5818176266078405,0.572248562284928,0.6297130707118171,0.8186529395007178,0.6691084773633467
8,0.0629450552129396,0.06701545276468336,0.06513166664054648,0.12659912072901114,0.26767505228196875,0.24487662073486638,0.27579335800967864,0.42553571313504013,0.22477687361608334
9,0.061166016938554904,0.030722194492818135,0.049242712526701156,0.062451172884811834,0.1027328886888661,0.07050756526106462,0.06278836949938782,0.148429289269026,0.1386461428458654
10,0.05812847605820273,0.02899330594196054,0.04830873737473521,0.09228505379022889,0.08524763186656092,0.052412047657579605,0.03368270238606286,0.09997147130815898,0.21313491637061155
11,0.0556411597101474,0.0277861198672332,0.0477048128885576,0.10613649507432266,0.06541226856723659,0.029142426368834143,0.009017413438622612,0.07554299492681582,0.2360187576072139
12,0.05364834331450158,0.031486336975708795,0.048199758338073065,0.10142394281674405,0.09209290936129311,0.057062716786291004,0.02231784639081169,0.0620959498881859,0.2854589420526765
13,0.05167663254585702,0.033571364701999555,0.04803449292432686,0.11647934987039887,0.09109936819083575,0.053769400785376495,0.0049970288466929524,0.02236333591441997,0.3535498971795743
14,0.05106801051991592,0.0228167121208253,0.047324282309890255,0.134094855995603,0.055518870192907466,0.015364020073585782,0.025336355907115027,0.007938034268500038,0.3464630978841776
15,0.049846042410518356,0.020115189304734396,0.04732780605484073,0.1347004452798397,0.04176745506209667,0.000791754266493333,0.03148335946034697,0.017145794992584173,0.31672859135415843
16,0.048520908316291994,0.01683370482740065,0.047248921755281593,0.1283912434975869,0.04384926986559723,0.004744288424204157,0.020964574184650142,0.037840212250794814,0.28309570033366693
17,0.04722569350785894,,0.04722569350785894,0.12436707240420297,0.040787667623194745,0.004652710985877911,0.010114040348186526,0.06594613099353785,0.23274865519051158
