owner,hint,timeout,max_connections,max_retries,dataset_samples,epochs,generate_max_tokens,data_path_root,n_eval_files
suze,0.6,1200,12,10,3,10,8192.0,sailhome,323
suze,0.6,1200,16,10,13,10,8192.0,sailhome,4
suze,0.6,1200,16,10,1,10,8192.0,sailhome,1
suze,0.75,1200,12,10,3,10,8192.0,sailhome,323
suze,0.75,1200,12,10,2,10,8192.0,sailhome,1
suze,0.8,1200,12,10,3,10,8192.0,sailhome,27
suze,0.8,3600,196,3,100,10,,juice5b,8
suze,0.8,1200,16,10,13,10,8192.0,sailhome,4
suze,0.8,3600,16,3,932,10,,juice5b,4
suze,0.8,3600,64,3,13,10,,juice5b,1
suze,0.8,3600,196,3,34,10,,juice5b,1
christine,0.0,1200,64,,932,10,,sphinx,2
christine,0.5,1200,64,,932,10,,sphinx,1
christine,0.85,1200,64,,932,10,,sphinx,1
christine,1.0,1200,64,,932,10,,sphinx,1
