model,hint_0.00,hint_0.05,hint_0.10,hint_0.15,hint_0.20,hint_0.25,hint_0.30,hint_0.35,hint_0.40,hint_0.45,hint_0.50,hint_0.55,hint_0.60,hint_0.65,hint_0.70,hint_0.75,hint_0.80,hint_0.85,hint_0.90,hint_0.95,hint_1.00
Llama-3.1-70B-Instruct,0.3783712446351931,0.4306645435244161,0.4024403866809882,0.5472887323943663,0.49392918454935625,0.5765097087378641,0.5975300429184549,0.6917679083094556,0.7162328326180257,0.7858228004956629,0.8138122317596567,0.8750216802168023,0.8823036480686696,0.9303096085409253,0.9290321888412016,0.954285505124451,0.9620751072961373,0.9743597883597883,0.9732381974248927,0.9780375536480688,0.9851791845493563
Llama-3.1-8B-Instruct,0.14667060085836908,,0.15027575107296137,0.13638461538461535,0.21249463519313305,0.21338461538461542,0.26995922746781115,0.3683846153846154,0.4373454935622318,0.5265496894409937,0.5669549356223176,0.6682533333333334,0.6862993562231761,0.7488333333333332,0.766618025751073,0.8585499999999999,0.8391673819742489,0.8863676470588236,0.8825847639484977,0.9254920634920634,0.963148068669528
Qwen2.5-1.5B-Instruct,0.02472854077253219,0.027342274678111587,0.033902360515021455,0.0427950643776824,0.05440557939914163,0.06377145922746781,0.07777038626609444,0.09287339055793992,0.1225236051502146,0.14098497854077252,0.18201502145922746,0.2190225321888412,0.27025214592274677,0.3090160944206009,0.3631673819742489,0.43061051502145925,0.4753122317596567,0.5396062231759656,0.6114527896995707,0.7075547210300429,0.8085504291845493
Qwen2.5-14B-Instruct,0.23307188841201715,0.24127253218884118,0.288494635193133,0.3105375536480686,0.35158798283261805,0.40534227467811157,0.43091309012875534,0.49150858369098716,0.5395568669527897,0.6010396995708154,0.650618025751073,0.6896834763948497,0.7405836909871244,0.7870997854077252,0.8238605150214593,0.8519699570815451,0.8805525751072961,0.9007650214592274,0.9157575107296138,0.9381373390557939,0.9677596566523605
Qwen2.5-32B-Instruct,0.27550214592274674,0.29789377682403434,0.34483369098712446,0.3784302575107296,0.4162575107296137,0.4671448497854077,0.5159216738197425,0.56987339055794,0.6063079399141631,0.6577285407725323,0.6995954935622317,0.7474420600858368,0.7870064377682403,0.8289635193133047,0.8565686695278969,0.8804742489270386,0.9059796137339056,0.91918669527897,0.9424527896995708,0.9504785407725322,0.9834678111587984
Qwen2.5-3B-Instruct,0.10425858369098712,0.10964270386266094,0.11597746781115881,0.1301469957081545,0.1473959227467811,0.1626394849785408,0.18083798283261804,0.1977961373390558,0.21878326180257512,0.2500429184549356,0.26511051502145927,0.30406866952789696,0.3395751072961373,0.37719313304721025,0.40949356223175964,0.44975536480686695,0.4913412017167382,0.5206899141630902,0.5768766094420601,0.6379849785407725,0.8544409871244635
Qwen2.5-7B-Instruct,0.20998283261802572,0.21963304721030044,0.23263090128755362,0.25675643776824036,0.2763293991416309,0.2941351931330472,0.32397210300429186,0.34740343347639485,0.3770139484978541,0.42131223175965665,0.45507403433476395,0.4966030042918455,0.5323240343347638,0.5788454935622317,0.6257746781115879,0.6778068669527897,0.7260933476394851,0.7766781115879828,0.8383701716738198,0.8914710300429185,0.9662811158798283
Qwen3-0.6B,0.24981974248927036,0.40547887323943665,0.2574570815450644,0.44221212121212117,0.2994216738197425,0.3315162241887906,0.332368025751073,0.33589270386266096,0.28563197424892706,0.3981898954703833,0.41762339055793996,0.4282156652360515,0.4878519313304721,0.49136695278969955,0.47787017167381973,0.5116469957081544,0.550975321888412,0.6868948497854077,0.6364892703862661,0.7440300429184549,0.737755364806867
Qwen3-1.7B,0.6102135193133047,0.6437839116719242,0.5995171673819744,0.7521023622047246,0.602950643776824,0.7046962962962962,0.6183444206008585,0.5743615879828325,0.6575042918454935,0.8221680672268911,0.6964839055793991,0.8072485549132948,0.6720622317596567,0.7030407725321889,0.8025751072961372,0.765527896995708,0.788263948497854,0.812645922746781,0.9161963519313304,0.9334517167381973,0.956494635193133
Qwen3-14B,0.7020289699570814,0.6436663090128756,0.6413347639484979,0.720756289308176,0.7377542918454936,0.7066373626373624,0.6706877682403434,0.7296593625498008,0.7287778969957082,0.6936959247648904,0.7241201716738197,0.6991479028697573,0.7360997854077254,0.7183895071542131,0.7308369098712446,0.6928616071428572,0.7205826180257511,0.7166287553648069,0.7070761802575107,0.7089350180505414,0.7154828326180257
Qwen3-32B,0.8645933476394849,0.8351370558375634,0.8223004291845494,0.839327868852459,0.828022532188841,0.8419026548672566,0.8402017167381973,0.8584421252371915,0.8573251072961374,0.875444262295082,0.8728508583690988,0.8811418234442838,0.8895912017167382,0.8908658536585367,0.8965064377682403,0.8946453558504223,0.8994066523605151,0.9013095238095239,0.9047532188841201,0.8949295774647887,0.9163068669527897
Qwen3-4B,0.8222349785407725,0.8745814977973568,0.6945386266094421,0.9428536585365855,0.7089656652360515,0.8727967289719626,0.7226963519313304,0.8988,0.7434356223175966,0.9179005235602095,0.7892564377682403,0.9216765432098766,0.9171791845493562,0.9498822695035462,0.9444087982832619,0.9494817596566525,0.9492789699570815,0.9524978540772533,0.9615826180257511,0.953667381974249,0.9448894849785409
Qwen3-8B,0.7147607296137339,0.6922424892703861,0.6938240343347639,0.9448399999999999,0.7059420600858369,0.7146158798283261,0.8334506437768241,0.9545833333333332,0.8590364806866954,0.7723916309012876,0.7944173819742489,0.944578125,0.8278154506437768,0.9718763440860216,0.8582950643776823,0.956667731629393,0.9483787553648069,0.8946738197424893,0.9020901287553648,0.9182188841201717,0.9689549356223177
gemma-3-12b-it,0.3545450643776824,,0.35974463519313304,,0.39847103004291845,,0.4504667381974249,,0.4939570815450644,,0.5593991416309013,,0.62943669527897,,0.701324034334764,,0.7672768240343348,,0.8357360515021459,,0.89981330472103
gemma-3-27b-it,0.44056223175965664,,0.4661148068669528,,0.5058272532188841,,0.5515708154506438,,0.6076512875536481,,0.6676394849785408,,0.7246609442060086,,0.784087982832618,,0.8342607296137339,,0.8748079399141632,,0.9328165236051502
gemma-3-4b-it,0.1991952789699571,,0.19198283261802573,,0.21815450643776824,,0.25043776824034336,,0.2862231759656652,,0.32749892703862665,,0.3827103004291845,,0.44551072961373395,,0.5135675965665236,,0.6031641630901288,,0.7275547210300429
