model,hint,eci,accuracy,stderr,n_samples,epochs
Llama-3.1-70B-Instruct,0.0,133.17620321864766,0.3783712446351931,0.009959129904372803,932,10
Llama-3.1-70B-Instruct,0.05,133.17620321864766,0.4306645435244161,0.015429029871922078,471,10
Llama-3.1-70B-Instruct,0.1,133.17620321864766,0.4024403866809882,0.011486914066045942,931,10
Llama-3.1-70B-Instruct,0.15,133.17620321864766,0.5472887323943663,0.02921285580454421,142,10
Llama-3.1-70B-Instruct,0.2,133.17620321864766,0.49392918454935625,0.012891845715027059,932,10
Llama-3.1-70B-Instruct,0.25,133.17620321864766,0.5765097087378641,0.015502505784964062,618,10
Llama-3.1-70B-Instruct,0.3,133.17620321864766,0.5975300429184549,0.012749544324132688,932,10
Llama-3.1-70B-Instruct,0.35,133.17620321864766,0.6917679083094556,0.014427203270850477,698,10
Llama-3.1-70B-Instruct,0.4,133.17620321864766,0.7162328326180257,0.012420943013030065,932,10
Llama-3.1-70B-Instruct,0.45,133.17620321864766,0.7858228004956629,0.012620787062599831,807,10
Llama-3.1-70B-Instruct,0.5,133.17620321864766,0.8138122317596567,0.010537511586063458,932,10
Llama-3.1-70B-Instruct,0.55,133.17620321864766,0.8750216802168023,0.01473300718534435,369,10
Llama-3.1-70B-Instruct,0.6,133.17620321864766,0.8823036480686696,0.008875197087902506,932,10
Llama-3.1-70B-Instruct,0.65,133.17620321864766,0.9303096085409253,0.009601032389830299,562,10
Llama-3.1-70B-Instruct,0.7,133.17620321864766,0.9290321888412016,0.007208019706219418,932,10
Llama-3.1-70B-Instruct,0.75,133.17620321864766,0.954285505124451,0.007194114586975148,683,10
Llama-3.1-70B-Instruct,0.8,133.17620321864766,0.9620751072961373,0.005376412768133395,932,10
Llama-3.1-70B-Instruct,0.85,133.17620321864766,0.9743597883597883,0.0058394622274474785,567,10
Llama-3.1-70B-Instruct,0.9,133.17620321864766,0.9732381974248927,0.004666658717579624,932,10
Llama-3.1-70B-Instruct,0.95,133.17620321864766,0.9780375536480688,0.003894279123235083,932,10
Llama-3.1-70B-Instruct,1.0,133.17620321864766,0.9851791845493563,0.00310863242050216,932,10
Llama-3.1-8B-Instruct,0.0,118.2107666309696,0.14667060085836908,0.008355000161243352,932,10
Llama-3.1-8B-Instruct,0.1,118.2107666309696,0.15027575107296137,0.009221087161641748,932,10
Llama-3.1-8B-Instruct,0.15,118.2107666309696,0.13638461538461535,0.09267462327313002,13,10
Llama-3.1-8B-Instruct,0.2,118.2107666309696,0.21249463519313305,0.010734064259388982,932,10
Llama-3.1-8B-Instruct,0.25,118.2107666309696,0.21338461538461542,0.10271244400678116,13,10
Llama-3.1-8B-Instruct,0.3,118.2107666309696,0.26995922746781115,0.01238922419238101,932,10
Llama-3.1-8B-Instruct,0.35,118.2107666309696,0.3683846153846154,0.11717783480852598,13,10
Llama-3.1-8B-Instruct,0.4,118.2107666309696,0.4373454935622318,0.014103168696258958,932,10
Llama-3.1-8B-Instruct,0.45,118.2107666309696,0.5265496894409937,0.023626907721681866,322,10
Llama-3.1-8B-Instruct,0.5,118.2107666309696,0.5669549356223176,0.014240279157370453,932,10
Llama-3.1-8B-Instruct,0.55,118.2107666309696,0.6682533333333334,0.03476227584929132,150,10
Llama-3.1-8B-Instruct,0.6,118.2107666309696,0.6862993562231761,0.013878449026184299,932,10
Llama-3.1-8B-Instruct,0.65,118.2107666309696,0.7488333333333332,0.02390047575352102,252,10
Llama-3.1-8B-Instruct,0.7,118.2107666309696,0.766618025751073,0.012334849814975558,932,10
Llama-3.1-8B-Instruct,0.75,118.2107666309696,0.8585499999999999,0.05004395567898285,40,10
Llama-3.1-8B-Instruct,0.8,118.2107666309696,0.8391673819742489,0.010542640437871158,932,10
Llama-3.1-8B-Instruct,0.85,118.2107666309696,0.8863676470588236,0.023943827537856798,136,10
Llama-3.1-8B-Instruct,0.9,118.2107666309696,0.8825847639484977,0.009477428332706105,932,10
Llama-3.1-8B-Instruct,0.95,118.2107666309696,0.9254920634920634,0.01716380913105681,189,10
Llama-3.1-8B-Instruct,1.0,118.2107666309696,0.963148068669528,0.005163640850546102,932,10
Qwen2.5-1.5B-Instruct,0.0,111.83791177826475,0.02472854077253219,0.0042071567967192644,932,10
Qwen2.5-1.5B-Instruct,0.05,111.83791177826475,0.027342274678111587,0.004788787923570488,932,10
Qwen2.5-1.5B-Instruct,0.1,111.83791177826475,0.033902360515021455,0.005223965749233494,932,10
Qwen2.5-1.5B-Instruct,0.15,111.83791177826475,0.0427950643776824,0.006043523394265835,932,10
Qwen2.5-1.5B-Instruct,0.2,111.83791177826475,0.05440557939914163,0.006695275874875482,932,10
Qwen2.5-1.5B-Instruct,0.25,111.83791177826475,0.06377145922746781,0.007122215035720916,932,10
Qwen2.5-1.5B-Instruct,0.3,111.83791177826475,0.07777038626609444,0.008181404418155938,932,10
Qwen2.5-1.5B-Instruct,0.35,111.83791177826475,0.09287339055793992,0.008808394430779876,932,10
Qwen2.5-1.5B-Instruct,0.4,111.83791177826475,0.1225236051502146,0.009726567125731195,932,10
Qwen2.5-1.5B-Instruct,0.45,111.83791177826475,0.14098497854077252,0.009963507758684912,932,10
Qwen2.5-1.5B-Instruct,0.5,111.83791177826475,0.18201502145922746,0.01155898434088384,932,10
Qwen2.5-1.5B-Instruct,0.55,111.83791177826475,0.2190225321888412,0.012342804011783112,932,10
Qwen2.5-1.5B-Instruct,0.6,111.83791177826475,0.27025214592274677,0.013125496396970816,932,10
Qwen2.5-1.5B-Instruct,0.65,111.83791177826475,0.3090160944206009,0.013492931502407185,932,10
Qwen2.5-1.5B-Instruct,0.7,111.83791177826475,0.3631673819742489,0.01429646911251452,932,10
Qwen2.5-1.5B-Instruct,0.75,111.83791177826475,0.43061051502145925,0.014134398326007365,932,10
Qwen2.5-1.5B-Instruct,0.8,111.83791177826475,0.4753122317596567,0.014546084707898154,932,10
Qwen2.5-1.5B-Instruct,0.85,111.83791177826475,0.5396062231759656,0.014157701171088891,932,10
Qwen2.5-1.5B-Instruct,0.9,111.83791177826475,0.6114527896995707,0.013588712636871987,932,10
Qwen2.5-1.5B-Instruct,0.95,111.83791177826475,0.7075547210300429,0.013068498584123399,932,10
Qwen2.5-1.5B-Instruct,1.0,111.83791177826475,0.8085504291845493,0.011482754165853934,932,10
Qwen2.5-14B-Instruct,0.0,128.47654705157314,0.23307188841201715,0.008326848826637813,932,10
Qwen2.5-14B-Instruct,0.05,128.47654705157314,0.24127253218884118,0.008963180747396608,932,10
Qwen2.5-14B-Instruct,0.1,128.47654705157314,0.288494635193133,0.01085378106050265,932,10
Qwen2.5-14B-Instruct,0.15,128.47654705157314,0.3105375536480686,0.011106148438476229,932,10
Qwen2.5-14B-Instruct,0.2,128.47654705157314,0.35158798283261805,0.011681075755569172,932,10
Qwen2.5-14B-Instruct,0.25,128.47654705157314,0.40534227467811157,0.012186600574976622,932,10
Qwen2.5-14B-Instruct,0.3,128.47654705157314,0.43091309012875534,0.012677377083965071,932,10
Qwen2.5-14B-Instruct,0.35,128.47654705157314,0.49150858369098716,0.013224900914553039,932,10
Qwen2.5-14B-Instruct,0.4,128.47654705157314,0.5395568669527897,0.013979962489353931,932,10
Qwen2.5-14B-Instruct,0.45,128.47654705157314,0.6010396995708154,0.013026141672771333,932,10
Qwen2.5-14B-Instruct,0.5,128.47654705157314,0.650618025751073,0.013468406095558817,932,10
Qwen2.5-14B-Instruct,0.55,128.47654705157314,0.6896834763948497,0.0124597925338192,932,10
Qwen2.5-14B-Instruct,0.6,128.47654705157314,0.7405836909871244,0.012328780196109617,932,10
Qwen2.5-14B-Instruct,0.65,128.47654705157314,0.7870997854077252,0.011446746540571626,932,10
Qwen2.5-14B-Instruct,0.7,128.47654705157314,0.8238605150214593,0.010844543055984163,932,10
Qwen2.5-14B-Instruct,0.75,128.47654705157314,0.8519699570815451,0.010061420541614406,932,10
