hint,n_models,mean_accuracy
0.0,16,0.37432316255364806
0.05,7,0.30062706928264865
0.1,16,0.36332383315450645
0.15,5,0.2159343347639485
0.2,16,0.4000100590128755
0.25,6,0.3331010371959943
0.3,16,0.43710407725321887
0.35,7,0.35663871857755985
0.4,16,0.48855720225321886
0.45,6,0.4459982117310443
0.5,16,0.5372451046137339
0.55,6,0.4561310801144492
0.6,16,0.6062103674892704
0.65,7,0.549459074187615
0.7,16,0.6479664699570815
0.75,8,0.6408552843347639
0.8,16,0.6924032322961373
0.85,10,0.6850158798283262
0.9,16,0.7307467811158799
0.95,10,0.7864416309012875
1.0,16,0.8178430123390558
