hint,n_models,mean_accuracy
0.0,16,0.39565873122317596
0.05,12,0.4517782512598256
0.1,16,0.39346059820189655
0.15,13,0.4957255351466095
0.2,16,0.43486936695278966
0.25,13,0.4888532871319269
0.3,16,0.47919554721030044
0.35,13,0.5470266594063237
0.4,16,0.5335816791845494
0.45,13,0.6048670125580087
0.5,16,0.5926543723175965
0.55,13,0.6678541054394361
0.6,16,0.6566095091201717
0.65,13,0.7142832821038105
0.7,16,0.7134956410944205
0.75,13,0.7595602926844106
0.8,16,0.76578205472103
0.85,13,0.8063310866623161
0.9,16,0.8176642972103004
0.95,13,0.860183757526815
1.0,16,0.8955559951716738
