model,hint,n_rollouts,old_accuracy,new_accuracy,pct_truncated,old_token_len_mean,old_token_len_max,new_token_len_mean,new_token_len_max,owner_label
Llama-3.1-70B-Instruct,0.0,430,0.16279069767441862,0.16279069767441862,0.0069767441860465115,1192.179069767442,18732,1180.0837209302326,16000,mine
Llama-3.1-70B-Instruct,0.1,720,0.22916666666666666,0.22916666666666666,0.0,952.2652777777778,14531,952.2652777777778,14531,mine
Llama-3.1-70B-Instruct,0.2,430,0.3186046511627907,0.3186046511627907,0.0,1005.9255813953488,14973,1005.9255813953488,14973,mine
Llama-3.1-70B-Instruct,0.3,430,0.4604651162790698,0.4604651162790698,0.002325581395348837,985.0116279069767,21471,972.2883720930232,16000,mine
Llama-3.1-70B-Instruct,0.4,550,0.5690909090909091,0.5690909090909091,0.0036363636363636364,949.7945454545454,16808,947.4745454545455,16000,mine
Llama-3.1-70B-Instruct,0.5,430,0.7558139534883721,0.7558139534883721,0.0,851.2627906976744,4895,851.2627906976744,4895,mine
Llama-3.1-70B-Instruct,0.6,430,0.8372093023255814,0.8372093023255814,0.0,875.6093023255814,6999,875.6093023255814,6999,mine
Llama-3.1-70B-Instruct,0.7,430,0.8837209302325582,0.8837209302325582,0.0,830.2325581395348,11149,830.2325581395348,11149,mine
Llama-3.1-70B-Instruct,0.8,430,0.9558139534883721,0.9534883720930233,0.002325581395348837,831.6348837209302,19299,823.9627906976744,16000,mine
Llama-3.1-70B-Instruct,0.9,430,0.9651162790697675,0.9651162790697675,0.0,735.1906976744186,3493,735.1906976744186,3493,mine
Llama-3.1-70B-Instruct,1.0,430,0.9813953488372092,0.9813953488372092,0.0,363.5860465116279,1256,363.5860465116279,1256,mine
Llama-3.1-8B-Instruct,0.0,472,0.07415254237288135,0.07415254237288135,0.11652542372881355,4862.177966101695,32642,3033.915254237288,16000,mine
Llama-3.1-8B-Instruct,0.1,430,0.04883720930232558,0.046511627906976744,0.541860465116279,17583.0,31751,9306.360465116279,16000,mine
Llama-3.1-8B-Instruct,0.2,430,0.15348837209302327,0.1511627906976744,0.013953488372093023,1970.1883720930232,31365,1767.6953488372094,16000,mine
Llama-3.1-8B-Instruct,0.3,430,0.14883720930232558,0.14651162790697675,0.5186046511627908,16977.211627906978,31808,9034.267441860466,16000,mine
Llama-3.1-8B-Instruct,0.4,430,0.3697674418604651,0.3697674418604651,0.0,1307.1860465116279,10865,1307.1860465116279,10865,mine
Llama-3.1-8B-Instruct,0.5,486,0.5452674897119342,0.5452674897119342,0.00411522633744856,1287.4012345679012,31368,1224.4794238683128,16000,mine
Llama-3.1-8B-Instruct,0.6,590,0.7,0.7,0.0,1092.9915254237287,11922,1092.9915254237287,11922,mine
Llama-3.1-8B-Instruct,0.7,430,0.7558139534883721,0.7558139534883721,0.030232558139534883,2022.5023255813953,31784,1561.820930232558,16000,mine
Llama-3.1-8B-Instruct,0.8,560,0.8035714285714286,0.8035714285714286,0.0,1010.2910714285714,9554,1010.2910714285714,9554,mine
Llama-3.1-8B-Instruct,0.9,600,0.8783333333333333,0.8783333333333333,0.0,983.5866666666667,4810,983.5866666666667,4810,mine
Llama-3.1-8B-Instruct,1.0,456,0.9539473684210527,0.9539473684210527,0.0,543.8377192982456,3935,543.8377192982456,3935,mine
Qwen2.5-1.5B-Instruct,0.0,430,0.030232558139534883,0.02558139534883721,0.002325581395348837,762.3860465116279,16235,761.839534883721,16000,christine
Qwen2.5-1.5B-Instruct,0.1,430,0.03953488372093023,0.030232558139534883,0.0,722.3953488372093,14950,722.3953488372093,14950,christine
Qwen2.5-1.5B-Instruct,0.2,430,0.04883720930232558,0.04186046511627907,0.0,693.9348837209302,15020,693.9348837209302,15020,christine
Qwen2.5-1.5B-Instruct,0.3,430,0.06744186046511629,0.06511627906976744,0.0,736.9953488372093,14937,736.9953488372093,14937,christine
Qwen2.5-1.5B-Instruct,0.4,430,0.10930232558139535,0.1,0.0,710.3697674418605,8622,710.3697674418605,8622,christine
Qwen2.5-1.5B-Instruct,0.5,430,0.15348837209302327,0.14883720930232558,0.0,729.6790697674419,14991,729.6790697674419,14991,christine
Qwen2.5-1.5B-Instruct,0.6,430,0.20465116279069767,0.19534883720930232,0.0,678.1720930232558,9147,678.1720930232558,9147,christine
Qwen2.5-1.5B-Instruct,0.7,430,0.3488372093023256,0.32558139534883723,0.0,550.6093023255814,2241,550.6093023255814,2241,christine
Qwen2.5-1.5B-Instruct,0.8,430,0.4744186046511628,0.44651162790697674,0.0,527.1906976744186,1851,527.1906976744186,1851,christine
Qwen2.5-1.5B-Instruct,0.9,430,0.586046511627907,0.5581395348837209,0.0,473.15581395348835,1907,473.15581395348835,1907,christine
Qwen2.5-1.5B-Instruct,1.0,430,0.813953488372093,0.7744186046511627,0.0,265.92790697674417,1635,265.92790697674417,1635,christine
Qwen2.5-14B-Instruct,0.0,430,0.07209302325581396,0.07209302325581396,0.004651162790697674,939.6790697674419,16238,938.6790697674419,16000,christine
Qwen2.5-14B-Instruct,0.1,430,0.15813953488372093,0.15813953488372093,0.0,804.646511627907,2084,804.646511627907,2084,christine
Qwen2.5-14B-Instruct,0.2,430,0.23488372093023255,0.23488372093023255,0.0,862.6744186046511,14728,862.6744186046511,14728,christine
Qwen2.5-14B-Instruct,0.3,430,0.29069767441860467,0.28837209302325584,0.0,908.5581395348837,15268,908.5581395348837,15268,christine
Qwen2.5-14B-Instruct,0.4,430,0.4930232558139535,0.48372093023255813,0.0,866.560465116279,1828,866.560465116279,1828,christine
Qwen2.5-14B-Instruct,0.5,430,0.5790697674418605,0.5790697674418605,0.0,881.4674418604651,1815,881.4674418604651,1815,christine
Qwen2.5-14B-Instruct,0.6,430,0.6906976744186046,0.686046511627907,0.0,903.060465116279,1959,903.060465116279,1959,christine
Qwen2.5-14B-Instruct,0.7,430,0.786046511627907,0.7790697674418605,0.0,877.1837209302325,1916,877.1837209302325,1916,christine
Qwen2.5-14B-Instruct,0.8,430,0.872093023255814,0.8558139534883721,0.0,877.5,1803,877.5,1803,christine
Qwen2.5-14B-Instruct,0.9,430,0.9255813953488372,0.9232558139534883,0.0,844.8976744186047,1722,844.8976744186047,1722,christine
Qwen2.5-14B-Instruct,1.0,430,0.9790697674418605,0.9558139534883721,0.0,431.1744186046512,1684,431.1744186046512,1684,christine
