model,hint,owner_label,owner_counts_json,owner_rollouts_total
Llama-3.1-70B-Instruct,0.0,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
Llama-3.1-70B-Instruct,0.1,mine,"{""christine"": 0, ""mine"": 720, ""unknown"": 0}",720
Llama-3.1-70B-Instruct,0.2,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
Llama-3.1-70B-Instruct,0.3,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
Llama-3.1-70B-Instruct,0.4,mine,"{""christine"": 0, ""mine"": 550, ""unknown"": 0}",550
Llama-3.1-70B-Instruct,0.5,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
Llama-3.1-70B-Instruct,0.6,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
Llama-3.1-70B-Instruct,0.7,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
Llama-3.1-70B-Instruct,0.8,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
Llama-3.1-70B-Instruct,0.9,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
Llama-3.1-70B-Instruct,1.0,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
Llama-3.1-8B-Instruct,0.0,mine,"{""christine"": 0, ""mine"": 472, ""unknown"": 0}",472
Llama-3.1-8B-Instruct,0.1,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
Llama-3.1-8B-Instruct,0.2,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
Llama-3.1-8B-Instruct,0.3,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
Llama-3.1-8B-Instruct,0.4,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
Llama-3.1-8B-Instruct,0.5,mine,"{""christine"": 0, ""mine"": 486, ""unknown"": 0}",486
Llama-3.1-8B-Instruct,0.6,mine,"{""christine"": 0, ""mine"": 590, ""unknown"": 0}",590
Llama-3.1-8B-Instruct,0.7,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
Llama-3.1-8B-Instruct,0.8,mine,"{""christine"": 0, ""mine"": 560, ""unknown"": 0}",560
Llama-3.1-8B-Instruct,0.9,mine,"{""christine"": 0, ""mine"": 600, ""unknown"": 0}",600
Llama-3.1-8B-Instruct,1.0,mine,"{""christine"": 0, ""mine"": 456, ""unknown"": 0}",456
Qwen2.5-0.5B-Instruct,0.0,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-0.5B-Instruct,0.1,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-0.5B-Instruct,0.2,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-0.5B-Instruct,0.3,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-0.5B-Instruct,0.4,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-0.5B-Instruct,0.5,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-0.5B-Instruct,0.6,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-0.5B-Instruct,0.7,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-0.5B-Instruct,0.8,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-0.5B-Instruct,0.9,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-0.5B-Instruct,1.0,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-1.5B-Instruct,0.0,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-1.5B-Instruct,0.1,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-1.5B-Instruct,0.2,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-1.5B-Instruct,0.3,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-1.5B-Instruct,0.4,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-1.5B-Instruct,0.5,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-1.5B-Instruct,0.6,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-1.5B-Instruct,0.7,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-1.5B-Instruct,0.8,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-1.5B-Instruct,0.9,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-1.5B-Instruct,1.0,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-14B-Instruct,0.0,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-14B-Instruct,0.1,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-14B-Instruct,0.2,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-14B-Instruct,0.3,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-14B-Instruct,0.4,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-14B-Instruct,0.5,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-14B-Instruct,0.6,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-14B-Instruct,0.7,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-14B-Instruct,0.8,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-14B-Instruct,0.9,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-14B-Instruct,1.0,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-32B-Instruct,0.0,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-32B-Instruct,0.1,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-32B-Instruct,0.2,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-32B-Instruct,0.3,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-32B-Instruct,0.4,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-32B-Instruct,0.5,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-32B-Instruct,0.6,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-32B-Instruct,0.7,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-32B-Instruct,0.8,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
