model,hint,sample_id,rollout_id,epoch,source_owner,target,old_token_len,new_token_len,was_truncated,old_is_correct,new_is_correct
Llama-3.1-70B-Instruct,0.0,2023-I-1,rollout_76583e80d106808bbd611ff0529dbbe31461e5a7,1,suzeva,191,597,597,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-1,rollout_01986c5070e6a9aaad8f67535c7b1095c8cfa145,10,suzeva,191,585,585,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-1,rollout_87df6936855694409e91bcaa37f6d634f24a24ed,2,suzeva,191,499,499,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-1,rollout_e5c07c4951f43400573d1939e10b38eea877bc7e,3,suzeva,191,531,531,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-1,rollout_8ebd4e5e139bb1fbd2f19c502848793618093413,4,suzeva,191,1048,1048,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-1,rollout_4076374e29267e1622c3275123bae841cf0e12bb,5,suzeva,191,587,587,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-1,rollout_c194a89cb6e8d2ce45aaee5637c751d79b788db2,6,suzeva,191,447,447,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-1,rollout_49c8435e1daeb457ef02540845e66524dca5bb05,7,suzeva,191,839,839,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-1,rollout_8e2576fc3148d5aeea4e2bd3632c81ae7faa002d,8,suzeva,191,1222,1222,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-1,rollout_966ba792e7287551f3128d78a8df44e8b81f43e7,9,suzeva,191,491,491,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-10,rollout_39d2094aa7a833b054e148ceadc725db0f65fceb,1,suzeva,944,872,872,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-10,rollout_5adc59da00115bf735f7c67138f2143f12bd8cec,10,suzeva,944,1794,1794,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-10,rollout_eded335e46dd8090ba1bba092ad1f4ee1428017d,2,suzeva,944,909,909,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-10,rollout_91982af49f398b8d862d04111f2d7c3701bec700,3,suzeva,944,2159,2159,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-10,rollout_ea1287e23529a0877f43ccb08f435771218d1bc1,4,suzeva,944,597,597,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-10,rollout_ed12aa61025c7859af0f409a79b4a849b5340855,5,suzeva,944,809,809,0,0,0
