model,hint,accuracy,ci_low,ci_high,n_samples_total,n_samples_eligible,n_rollouts_eligible,n_short_rollout_samples,eci
Qwen3-0.6B,0.0,0.2739851196162707,0.2542918454935622,0.2929184549356223,932,932,20688,0,111.74174185357096
Qwen3-0.6B,0.1,0.2757339106613263,0.25533798283261805,0.29721030042918456,932,932,22282,0,111.74174185357096
Qwen3-0.6B,0.2,0.30519500976721253,0.2843347639484979,0.3261802575107296,932,932,24290,0,111.74174185357096
Qwen3-0.6B,0.3,0.33425436952789067,0.3111587982832618,0.3572961373390558,932,932,22125,0,111.74174185357096
Qwen3-0.6B,0.4,0.30064377682403437,0.2778969957081545,0.3218884120171674,932,932,9320,0,111.74174185357096
Qwen3-0.6B,0.5,0.4317135685767694,0.4066255364806867,0.4581545064377682,932,932,30541,0,111.74174185357096
Qwen3-0.6B,0.6,0.5054721030042919,0.47958690987124464,0.5311427038626609,932,932,9320,0,111.74174185357096
Qwen3-0.6B,0.7,0.498175965665236,0.4731491416309013,0.523631974248927,932,932,9320,0,111.74174185357096
Qwen3-0.6B,0.8,0.5752145922746781,0.5493562231759657,0.601931330472103,932,932,9320,0,111.74174185357096
Qwen3-0.6B,0.9,0.6598712446351931,0.6362660944206009,0.6824034334763949,932,932,9320,0,111.74174185357096
Qwen3-0.6B,1.0,0.7648068669527898,0.7435354077253219,0.7875536480686696,932,932,9320,0,111.74174185357096
Qwen2.5-1.5B-Instruct,0.0,0.026609442060085836,0.018240343347639486,0.03540772532188841,932,932,9320,0,111.83791177826475
Qwen2.5-1.5B-Instruct,0.1,0.03937768240343348,0.028969957081545063,0.05042918454935622,932,932,9320,0,111.83791177826475
Qwen2.5-1.5B-Instruct,0.2,0.05847639484978541,0.046137339055793994,0.07081545064377683,932,932,9320,0,111.83791177826475
Qwen2.5-1.5B-Instruct,0.3,0.08669527896995709,0.07081545064377683,0.10300429184549356,932,932,9320,0,111.83791177826475
Qwen2.5-1.5B-Instruct,0.4,0.13637339055793993,0.11695278969957082,0.157725321888412,932,932,9320,0,111.83791177826475
Qwen2.5-1.5B-Instruct,0.5,0.20021459227467814,0.1781115879828326,0.22317596566523606,932,932,9320,0,111.83791177826475
Qwen2.5-1.5B-Instruct,0.6,0.2929184549356223,0.26609442060085836,0.3186695278969957,932,932,9320,0,111.83791177826475
Qwen2.5-1.5B-Instruct,0.7,0.3920600858369098,0.361587982832618,0.42062768240343346,932,932,9320,0,111.83791177826475
Qwen2.5-1.5B-Instruct,0.8,0.5101931330472103,0.4817328326180258,0.5386266094420601,932,932,9320,0,111.83791177826475
Qwen2.5-1.5B-Instruct,0.9,0.6492489270386267,0.621244635193133,0.6749195278969957,932,932,9320,0,111.83791177826475
Qwen2.5-1.5B-Instruct,1.0,0.8532188841201718,0.8336641630901288,0.871244635193133,932,932,9320,0,111.83791177826475
gemma-3-4b-it,0.0,0.20021459227467814,0.18562231759656653,0.2167381974248927,932,932,9320,0,114.391591602579
gemma-3-4b-it,0.1,0.19281115879828326,0.1770118025751073,0.2092274678111588,932,932,9320,0,114.391591602579
